stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,1,1,0,3,0,0,0
 24-34,0,0.82,0,0,3.28,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0,27.09,0,0.82,0.82,0,0,0.82,0,1.64,6.57,0,0,0
 36-46,0,0,0,0,6.45,0,0.81,0,0,0,0,0,0,0,4.03,0,0,0.81,45.92,0,0.81,0,0,0,5.64,0,0,9.67,0,0,0
 48-58,0,2.3,0,0,10.9,0.57,2.3,0,0,0,0,0,0.57,0,8.03,0,0.57,1.15,25.82,0.57,0,0,0,0,3.44,0,0,4.59,0,1.15,0
 60-70,0,0.98,0,0,7.85,0,6.87,0,0.98,0,0,0,0,0,13.74,0,0.98,0.98,26.5,0,0,0.98,0,0,5.89,0,0,1.96,0,1.96,0.98
 72-82,0,0.98,0,0,15.71,0.98,0.98,0,0.98,1.96,0,0,0.98,0,7.85,0,0,0,18.65,0,0.98,0,0,0,3.93,0,0,1.96,0,0.98,0
 84-94,0,1.06,1.06,0,7.43,0,2.12,0,0,0,0,0,0,0,5.31,0,0,0,14.87,1.06,0,0,0,0,5.31,0,0,1.06,1.06,1.06,0
 96-106,0,4.37,0,0,8.74,0,2.19,2.19,0,3.28,0,2.19,0,0,3.28,0,0,0,14.21,0,1.09,0,0,1.09,12.02,0,0,0,0,3.28,0
108-118,0,0.77,0.77,2.3,3.83,1.53,0,0.77,0,0.77,0.77,0,0,0.77,3.06,0.77,0.77,1.53,7.66,0,0,0,0,0,3.06,0,0,0.77,0,1.53,0
120,0,5.88,1.96,1.96,3.92,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,5.88,0,1.96,0,0,1.96,9.8,0,0,1.96,0,0,0
