stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,69.23,0,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,3,19,0,1,0,0,1,1,0,0,1,11,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0.82,0,0,0,0,4.93,0,1.64,15.6,0,1.64,0,0,1.64,0,0,0,0.82,3.28,0,0,0.82,0
 36-46,0,0,0,0,0,0,7.25,0,0,1.61,0,0,0,5.64,0.81,0,24.17,0,0,0,0,0.81,0,1.61,0,0,10.47,0,0,0,0
 48-58,0,0,0,0.57,0,0,8.03,0,1.72,0,0,0,0,6.31,1.15,1.72,24.67,0,1.15,0,0,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0.98,0,0,8.83,0,3.93,0,0,0.98,0,5.89,0,1.96,27.48,0,0.98,0,0,0.98,0,0,0,0,5.89,0,0.98,0.98,0
 72-82,0,0,0,1.96,0,0.98,6.87,0,4.91,0.98,0,0,0,5.89,0.98,0.98,19.63,0,0,0,0,0,0,0,0,0,2.94,0.98,0,1.96,0
 84-94,0,0,0,2.12,0,0,5.31,0,3.19,0,1.06,1.06,0,5.31,1.06,0,7.43,0,0,0,0,0,0,1.06,0,0,1.06,0,0,1.06,1.06
 96-106,0,0,0,2.19,1.09,0,8.74,1.09,2.19,0,0,0,1.09,7.65,0,1.09,12.02,1.09,0,1.09,0,0,0,0,0,0,1.09,0,1.09,3.28,0
108-118,0,0,0,0.77,0,0,4.6,0.77,1.53,0,0,0,0,6.13,0,0,13.02,0,0,0,0,2.3,0,0,0.77,0,0.77,0,0,1.53,0
120,0,0,0,0,0,0,9.8,0,3.92,0,0,0,0,9.8,0,1.96,21.56,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0
