stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,2,25,23,4,0,0,0,1,2,0,2,0,0,0,0,0,150,0,0,117,76,2,0,0,1,0,1,0,2,7,0,35,17,0,0,0,0,3
 24-34,0,0.82,1.64,3.28,2.46,4.1,0,0,9.03,2.46,2.46,0,3.28,0,0,0,0,2.46,288.94,0,1.64,112.46,64.85,0,0.82,0.82,0,0,0.82,0,0,13.13,0.82,13.95,9.03,0,0,0.82,0,1.64
 36-46,0,0,0,2.42,0,15.31,0,0,16.92,1.61,0,0,6.45,0,0,0,0,4.83,366.58,0,8.06,104.74,55.59,0.81,0,0,0,0,0.81,0,0,7.25,0.81,0,8.86,0,0.81,1.61,0,0
 48-58,0,0,0,1.72,0,35.58,0,0.57,16.07,6.89,1.15,0.57,5.16,0,0.57,0,1.15,4.59,490.03,0,22.38,60.25,35,0,0,0,0,0.57,0,0,0,2.87,0,0,7.46,0,1.15,2.3,0,1.72
 60-70,0,0.98,0,3.93,0,51.04,0,1.96,16.69,4.91,0.98,0,3.93,0.98,0,0,0.98,2.94,793.07,0,31.41,45.15,55.95,0,0,0,0,4.91,0.98,0,0,3.93,0,0,6.87,0,15.7,2.94,8.83,1.96
 72-82,0,0,0,3.93,1.96,47.12,0,0.98,28.47,5.89,0.98,0,4.91,0,1.96,0,4.91,3.93,965.96,0,29.45,40.25,53.99,0,0,0.98,0,2.94,0,0,0,4.91,0,0,2.94,0.98,22.58,2.94,21.6,0
 84-94,0,1.06,1.06,8.5,0,71.16,2.12,1.06,20.18,4.25,3.19,0,8.5,0,5.31,1.06,6.37,3.19,639.35,0,41.42,26.55,35.05,0,0,0,0,3.19,2.12,0,0,3.19,1.06,0,2.12,0,31.86,3.19,21.24,1.06
 96-106,0,0,0,7.65,2.19,49.18,0,0,13.11,8.74,0,0,9.84,1.09,3.28,1.09,2.19,7.65,572.65,0,24.04,17.49,41.53,0,1.09,2.19,0,6.56,0,0,0,8.74,0,0,1.09,1.09,27.32,4.37,27.32,1.09
108-118,0,0,0,3.83,0.77,22.98,0,0.77,17.62,6.89,4.6,0,1.53,0.77,3.06,0,9.19,5.36,537.71,1.53,13.79,19.92,38.3,0,0.77,0.77,0,6.13,0,0,0,7.66,0,0,0,0,29.11,0,14.55,1.53
120,0,0,0,1.96,0,17.64,0,0,5.88,1.96,3.92,0,1.96,1.96,0,0,7.84,1.96,354.72,1.96,13.72,17.64,35.28,0,0,1.96,0,5.88,0,0,0,3.92,0,0,3.92,0,19.6,0,11.76,0
