stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,31,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0
 24-34,0,0,0.82,4.1,0.82,0,8.21,0.82,0,1.64,0,0,97.68,0,0.82,0,5.75,0,0,2.46,58.28,1.64,1.64,0,0,4.1,0.82,0,0.82,8.21,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,11.28,0,0,0,0.81,0,120.04,0,0,1.61,9.67,0,0,0.81,39.48,0,0,0,0,0,0,0.81,0,9.67,0,0,0,0,0
 48-58,0,0,0,1.72,1.15,0,6.31,0,0.57,2.87,0,0,119.35,0.57,0,0.57,12.62,0,0,1.72,24.67,0.57,0,0,0,1.15,0,0,0,3.44,0,0,0,0,0.57
 60-70,0,0,0,1.96,1.96,0,8.83,0.98,0.98,2.94,0,0,138.39,0,0,0,43.19,0,0.98,0,21.59,1.96,0,0,0,2.94,0,0,0,4.91,0,0,0,0,1.96
 72-82,0,0,0,0,0,0,7.85,0,0.98,0.98,0,0.98,152.16,0.98,0,0,72.64,1.96,0.98,0,14.72,0.98,0.98,0.98,0,2.94,0,0,0,1.96,0,0.98,0.98,0.98,0
 84-94,0,0,0,1.06,1.06,0,10.62,0,0,0,0,0,199.66,0,1.06,0,45.67,0,0,0,5.31,4.25,0,0,0,3.19,0,0,0,1.06,0,2.12,1.06,0,0
 96-106,0,0,0,1.09,5.46,0,15.3,0,0,3.28,2.19,0,215.29,1.09,0,0,55.74,0,0,0,9.84,3.28,1.09,1.09,0,4.37,0,0,0,1.09,0,0,2.19,1.09,0
108-118,0,0,0,1.53,2.3,0.77,5.36,0,1.53,1.53,0.77,0,166.21,0,0.77,0,44.43,0,0,1.53,12.26,0.77,0,0,0,1.53,0,0,0,1.53,0.77,0,0,0.77,0
120,0,0,0,3.92,0,1.96,3.92,0,1.96,0,0,0,297.89,0,0,0,27.44,0,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
