stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,26.36,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,4,2,0,0,0,3,0,0,0,0,1,0,0,3,1,0,0,1,10,1,1,2,0
 24-34,0,0,0,0,0,0,0,5.75,0,0,0.82,0.82,0.82,0,0.82,9.03,0,0,0,0,4.93,0,0.82,0.82,0.82
 36-46,0,0,0,0,0.81,0,0,5.64,0,0,0,0,5.64,0,0.81,4.03,0.81,0,0,0,7.25,0,0,2.42,0
 48-58,0,0,0,0,1.15,0.57,1.15,1.15,0,0,0,0.57,1.15,0,0.57,3.44,0,0,0,0,3.44,0,0,1.15,0
 60-70,0,0,0,0,1.96,0,1.96,0,0,0.98,0,0,0.98,0,0.98,6.87,0.98,0,0,0,2.94,0,0,1.96,0
 72-82,0,0,0,0,0,0,0.98,0,0,1.96,0,0,3.93,0.98,0,4.91,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,1.06,3.19,0,1.06,0,0,0,0,0,0,1.06,0,4.25,0,0,1.06,0,2.12,0,0,2.12,1.06
 96-106,0,0,0,0,3.28,0,1.09,0,0,4.37,1.09,0,5.46,0,0,8.74,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,2.3,0,0,5.36,0,0,1.53,0,0,5.36,0,0,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0,5.88,0,0,9.8,0,0,0,0,0,0,0,0,0
