stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,839.76,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,18.4,0,39.43,0,0,34.17,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,531,5.26,0,0,139.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,25.18,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,122.73,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,3,0,0,2,0,0,0,0,0,0,1,1,3,0,0,1,35,2,0,1,0,0,1,1,2,3,13,0,0,0,0,0
 24-34,0,0,0,0,3.28,0.82,3.28,0,0.82,2.46,0,0,0,0.82,0,0,0,0,4.93,0,0,0.82,36.94,0.82,0.82,0.82,0,1.64,0,0.82,0,0,27.09,0,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,7.25,0,0.81,4.83,0.81,0,0,0.81,0,0,0,0.81,6.45,0,0,1.61,68.48,0,3.22,0,0,0,0,0,0,0,27.39,0,0,4.03,0.81,0
 48-58,0,0,0,0,0,0,14.35,0,0.57,4.02,0,0,0,0,0.57,0,0,1.72,8.03,0,0.57,0.57,33.85,1.15,1.15,0,0,0.57,0,0.57,0,0,9.75,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,16.69,0,0,6.87,0,0,0,0,0,0,0,0,5.89,0,0,0,44.17,0.98,0,0,0,2.94,0,0,0,0,4.91,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,0,28.47,0,0,10.8,0.98,0,0,0,0,0,0.98,1.96,9.82,0.98,0,1.96,44.17,0.98,3.93,0.98,0,0,0,0,0,0,4.91,0.98,0.98,2.94,0,0
 84-94,0,0,0,0,1.06,0,13.81,0,0,3.19,1.06,0,1.06,0,0,0,0,1.06,4.25,0,0,0,9.56,0,0,0,0,0,0,0,0,0,3.19,0,1.06,0,1.06,1.06
 96-106,0,0,1.09,0,2.19,1.09,9.84,1.09,1.09,3.28,0,0,1.09,1.09,1.09,0,0,0,4.37,2.19,0,0,8.74,0,2.19,1.09,0,1.09,0,1.09,0,0,1.09,0,0,1.09,0,0
108-118,0,0,0,0,3.06,0.77,8.43,0,0.77,2.3,2.3,0,0.77,0,0,1.53,0,0,6.13,0,0,0,12.26,0.77,1.53,1.53,0,1.53,0,0,0,0,0,0.77,0.77,0.77,0,0
120,0,0,0,0,1.96,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96
