stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,1,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,146,1,1,0,0,0,0,1,2,0,0,2,115,0,0,0,0,0
 24-34,0,0,0,3.28,0.82,0,10.67,0,31.19,0,3.28,0,0,0,0,0,0,0,0.82,0.82,7.39,0,0,2.46,875.03,0,31.19,0.82,0,0,3.28,0,0,0,0,0,363.64,0,0,2.46,0,0
 36-46,0,0,0,4.03,0.81,0,68.48,1.61,8.86,0,5.64,0,0,0,0.81,0.81,0.81,0,0,0.81,11.28,0,0,1.61,1937.63,0.81,43.51,0,0,0,5.64,0,0,0,0,0,577.66,0,0,2.42,0,0.81
 48-58,0,0,0.57,12.62,0.57,0,366.09,0.57,11.48,2.3,29.84,0,0,1.15,1.15,0,0.57,0.57,1.72,0.57,36.15,0,0.57,3.44,2523.02,0,24.67,1.15,0,0.57,4.59,0,0,0,0,0,648.4,0,0,3.44,0,6.31
 60-70,0,0,0,8.83,0.98,0,898.09,1.96,5.89,2.94,53.98,0.98,0,0,1.96,2.94,0.98,1.96,0,0.98,42.21,0.98,0.98,9.82,4172.45,0.98,29.45,4.91,0,0,3.93,0,0,0,0,0,773.44,0,3.93,9.82,0.98,2.94
 72-82,0,0,0.98,40.25,18.65,0,1433.23,0.98,10.8,9.82,135.47,5.89,0,0.98,0,0,3.93,1.96,2.94,2.94,135.47,3.93,5.89,17.67,4383.12,0.98,60.86,4.91,0,1.96,10.8,0,0,0,1.96,0,517.34,0.98,1.96,19.63,4.91,14.72
 84-94,0,0,0,75.4,8.5,0,980.26,2.12,7.43,5.31,107.27,3.19,1.06,2.12,4.25,2.12,10.62,1.06,2.12,0,75.4,1.06,5.31,6.37,2436.31,1.06,43.54,6.37,0,0,19.12,0,0,1.06,0,0,300.56,5.31,4.25,12.74,4.25,2.12
 96-106,0,0,2.19,59.01,17.49,0,821.82,4.37,9.84,4.37,120.21,8.74,0,1.09,7.65,1.09,5.46,1.09,3.28,0,81.96,2.19,2.19,7.65,2140.89,2.19,59.01,14.21,0,1.09,36.06,0,0,0,1.09,0,127.86,1.09,2.19,16.39,2.19,9.84
108-118,0,0,0,50.55,5.36,1.53,688.6,2.3,5.36,1.53,91.92,2.3,0,0,3.06,1.53,2.3,0,1.53,2.3,61.28,0.77,3.06,6.13,2787.34,1.53,47.49,9.96,0,3.06,12.26,0,0,0,0,0,119.49,1.53,1.53,15.32,3.83,3.83
120,0,0,0,64.67,11.76,3.92,758.44,5.88,17.64,0,123.47,5.88,0,0,7.84,1.96,3.92,0,7.84,1.96,56.83,1.96,0,9.8,3519.78,3.92,39.2,13.72,0,1.96,19.6,0,0,1.96,1.96,0,143.06,1.96,0,13.72,1.96,1.96
