stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,214.54,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,10.51,0,0,0,31.54,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,212.93,7.89,0,92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,18.88,0,12.59,0,28.32,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,251.76,3.15,0,81.82,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,37,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0,0,2,0,0,0,10,0,2,47,5,0,1,0
 24-34,0,0,0,0,65.67,0.82,0,6.57,0,29.55,0,0,0,0,0,0.82,0,0,1.64,0.82,1.64,1.64,0,0.82,19.7,0,0,0,0,0,0,0,0,0.82,7.39,3.28,0,0.82,1.64
 36-46,0,0,0,0,35.45,0,0,8.06,0.81,13.7,0,0,0,0,0,0.81,0,0,0,1.61,0.81,0,0,0.81,15.31,0,0.81,0,0,0,0.81,0,0,0,0,1.61,0,0,0
 48-58,0,0,0.57,0,30.99,0,0,5.16,1.15,13.2,0,1.15,0,0,0,0,0,0,2.3,2.3,2.87,0,0,1.15,14.35,0,0,0,0,0,0,0,0,0,0,0,0,0.57,1.15
 60-70,0,0,0,0,31.41,0,0,4.91,0,17.67,1.96,0.98,0.98,0,0.98,1.96,0,0,0.98,1.96,0,0.98,0,0,10.8,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,37.3,0,0,4.91,0,8.83,0,1.96,0.98,0,5.89,1.96,0.98,0,0,0.98,0.98,0.98,0.98,0,10.8,0,0.98,0,0,1.96,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,43.54,0,2.12,5.31,0,33.99,0,1.06,1.06,0,6.37,2.12,7.43,0,2.12,4.25,5.31,0,0,0,6.37,0,1.06,0,0,3.19,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,44.81,0,0,5.46,0,21.86,0,0,3.28,0,7.65,2.19,3.28,0,1.09,1.09,2.19,1.09,0,1.09,6.56,0,1.09,0,0,2.19,0,0,1.09,0,0,1.09,2.19,0,2.19
108-118,0,0,0,0,99.58,0,6.89,3.06,0,46.72,0,1.53,3.06,0,11.49,3.83,13.02,0.77,1.53,6.89,5.36,0.77,0,0.77,5.36,0,0.77,0,0.77,1.53,0,0,1.53,0,0,0,0,0,2.3
120,0,0,0,0,186.18,0,3.92,0,0,41.16,0,0,5.88,0,11.76,1.96,9.8,1.96,1.96,0,5.88,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92
