stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,31.47,0,0,0,3.15,0,0,0,0
 14-21,0,0,2,0,4,2,0,0,1,20,0,0,0,1,0,0,0,0,13,0,2,12,2,1,14,1,62,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,0,0,0,24.63,0,0,0,0,0,0,0,0,16.42,1.64,9.03,1.64,0,0.82,6.57,1.64,54.18,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0.81,0,14.5,0,0,0,0,0.81,0,0,0,12.09,0,16.11,0.81,0,0,1.61,0,25.78,0,1.61,0,0.81
 48-58,0,0,0,0,0,0,0,2.3,0,8.03,0,0,1.15,0,0,0.57,0,0,5.16,0,9.18,1.15,0,0,2.3,0,26.4,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,5.89,0,0,0,0,0,0.98,0.98,0,3.93,0,11.78,1.96,0,0.98,0,0,10.8,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,2.94,0,9.82,0.98,0,1.96,0,0,0.98,0,0,6.87,0,12.76,2.94,0,0,0.98,0,8.83,0.98,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,0,13.81,2.12,1.06,3.19,0,0,1.06,0,0,5.31,0,12.74,4.25,0,0,3.19,0,9.56,0,0,2.12,0
 96-106,0,0,1.09,0,0,1.09,0,3.28,0,5.46,1.09,0,4.37,1.09,0,3.28,0,0,3.28,0,20.76,4.37,0,0,1.09,0,8.74,0,0,0,0
108-118,0,0,1.53,0,3.06,0,0.77,3.06,0,9.19,0,0.77,3.83,0,0,2.3,0,0.77,5.36,0,16.09,4.6,0,0.77,0.77,0,3.83,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,3.92,0,0,1.96,0,0,0,0,13.72,5.88,0,0,1.96,0,3.92,0,0,0,0
