stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,24.52,275.83,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,0,34.17,0,0,2.63,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,115.66,52.57,0,0,63.09,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,374.49,0,3.15,9.44,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,3.15,1032.21,81.82,0,0,169.94,3.15,3.15,12.59,0,3.15,25.18,0,0
 14-21,0,0,11,72,110,24,13,0,0,141,70,7,4,0,1,0,0,8,1,79,1,0,28,554,15,0,263,10,2,4,6,1,9,1359,5,0
 24-34,0,0,11.49,57.46,25.45,3.28,16.42,0,0,157.6,32.01,0.82,5.75,0,2.46,0,13.95,25.45,2.46,193.72,0,0,27.91,551.62,7.39,0,208.5,0,0.82,0,5.75,1.64,1.64,794.59,2.46,0.82
 36-46,0,0,10.47,8.06,2.42,1.61,11.28,0,0,53.98,20.95,0,5.64,0,0,0,0.81,18.53,0,65.26,0,0.81,8.06,140.99,4.83,0.81,77.34,0,0.81,0,4.83,0,0,186.11,2.42,0
 48-58,0,0,4.59,1.15,2.3,0,5.16,0,0,20.66,5.74,0,0,0,0,0.57,0,2.3,0,31.56,0,0,3.44,45.33,1.72,0.57,35,0,0,0,2.87,0,0,82.05,0,0
 60-70,0,0,0,0,1.96,0,7.85,0.98,0,9.82,1.96,0,0,0,0,2.94,0,0.98,0,2.94,0,0,0.98,39.26,0.98,0,6.87,0,0,0,0.98,0,0,17.67,0,0
 72-82,0,0,0,0,0,0,5.89,0,0,4.91,0,0,0,0,0,3.93,0,0,0,1.96,0,0,0,35.34,0.98,1.96,3.93,0,0,0,0.98,0,0,13.74,0,0
 84-94,0,0,0,1.06,0,0,5.31,0,0,12.74,2.12,0,0,0,0,2.12,0,1.06,0,1.06,0,0,0,13.81,0,0,7.43,0,1.06,0,1.06,0,0,15.93,0,0
 96-106,0,0,1.09,1.09,2.19,0,0,0,0,3.28,0,0,0,1.09,0,16.39,0,0,0,1.09,0,0,0,17.49,3.28,1.09,9.84,0,0,0,0,0,0,18.58,0,0
108-118,0,0,0,0,0.77,0,0,0,0,7.66,0,0,0,0,0,7.66,0,1.53,0,0,0,0,0,16.09,0,0,9.19,0,0,0,2.3,0,0,16.09,0,0
120,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,27.44,0,1.96,5.88,0,0,0,0,0,0,21.56,0,0
