stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,2.46,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0.81,0,0,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,3.93,0,0,0,0.98,0.98,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,0,0.98,0,8.83,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,1.06,0,1.06,0,3.19,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,1.09,0,0,2.19,1.09,1.09,5.46,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0.77
120,0,0,1.96,1.96,0,0,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0
