stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,18.4,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,5,0
 24-34,0,0,0,1.64,0,0,0,0,0.82,1.64,0.82,13.95,0,0,0,0,0,0,4.93,0
 36-46,0,0.81,0,1.61,0,0,0,0,0,0,0.81,21.75,0,0,0,0,0.81,0,4.83,0
 48-58,0,1.15,0,6.31,2.3,0,0,0,0,2.3,0,24.1,0,0,0,0,0,0,5.16,0
 60-70,0,0,0,7.85,0.98,0,0,0,0,1.96,0.98,35.33,0,0,0,0,0,0,4.91,0.98
 72-82,0,0,0,9.82,1.96,0,0.98,0,0,3.93,0.98,17.67,0,0,0,0,0,0,1.96,0
 84-94,0,1.06,0,3.19,0,0,0,0,0,1.06,1.06,7.43,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,5.46,1.09,0,0,1.09,0,1.09,1.09,9.84,0,0,0,0,0,0,0,0
108-118,0,0,0,3.06,2.3,0.77,0.77,0,0,0,0,8.43,0,0,0.77,0,0,0,0,0.77
120,0,1.96,0,5.88,0,0,0,0,0,1.96,1.96,15.68,0,0,0,0,0,0,0,0
