stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste
  3-4,39.53,593.01,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,18.39,140.98,0,0,0,0,0,0,0,6.13,0,0,12.26,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,23.66,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,5.74,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,9.82,0,0,0,0.98,0
 72-82,0,0,0,0,1.96,0,0,0,0,23.56,0,0,0,1.96,0.98
 84-94,0,0,0,0,1.06,1.06,0,0,1.06,10.62,0,0,0,1.06,0
 96-106,0,0,0,0,2.19,0,0,2.19,0,14.21,0,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0,1.53,0,17.62,0.77,0,0,0,0
120,0,0,0,1.96,1.96,0,0,1.96,0,19.6,0,0,0,0,0
