stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,5,6,85,27,0,39,0,2,0,9,9,4,3,11,37,2,1,10,10,37,6,0,20,339,44,4,5,13,0,11,0,71,14,8,63,169,0,0,15,0,18
 24-34,4.93,4.1,20.52,5.75,0,55.82,0,3.28,2.46,4.93,1.64,0.82,0,27.91,98.5,0,0.82,10.67,41.86,27.09,13.13,0,15.6,591.02,5.75,26.27,6.57,0,0,27.91,0,1.64,13.13,2.46,16.42,191.26,0,0,21.34,0,33.66
 36-46,0.81,0.81,8.06,5.64,0,132.13,0,2.42,4.03,24.17,0,0,1.61,47.53,29,2.42,3.22,3.22,37.87,45.92,4.83,0,13.7,927.33,6.45,21.75,6.45,0,0.81,22.56,0,0,11.28,0,0,230.42,0,0,19.34,0,24.98
 48-58,1.15,0,11.48,5.16,0,336.82,2.3,1.72,6.31,67.14,1.72,1.15,1.72,53.94,9.18,10.9,2.87,1.15,35,98.12,5.16,2.3,13.2,1268.11,5.16,16.64,4.02,0,0.57,21.23,0,0,6.31,0.57,0,308.71,0,1.72,29.26,0.57,32.13
 60-70,3.93,0,19.63,3.93,0,842.15,2.94,3.93,3.93,87.36,9.82,0.98,0.98,55.95,12.76,26.5,3.93,5.89,7.85,136.43,2.94,2.94,9.82,1695.09,7.85,18.65,12.76,0,0,17.67,0,0,8.83,0,0,243.42,1.96,1.96,19.63,0,25.52
 72-82,11.78,0.98,16.69,19.63,0,1084.74,0.98,3.93,10.8,182.59,16.69,0,3.93,92.28,20.61,35.34,12.76,5.89,11.78,234.62,10.8,7.85,16.69,1650.17,0,34.36,24.54,0,4.91,30.43,0.98,0,16.69,0,0,140.38,5.89,8.83,35.34,3.93,33.38
 84-94,4.25,0,40.36,14.87,0,606.42,1.06,5.31,6.37,103.02,23.36,2.12,1.06,78.59,43.54,32.92,7.43,5.31,16.99,111.51,10.62,5.31,7.43,663.77,2.12,15.93,20.18,0,1.06,84.96,0,0,25.49,0,0,72.22,4.25,3.19,29.74,2.12,19.12
 96-106,9.84,0,34.97,16.39,1.09,583.58,0,6.56,5.46,113.66,37.16,0,3.28,103.82,48.09,29.51,12.02,7.65,24.04,145.35,3.28,4.37,12.02,624.02,5.46,36.06,28.41,0,1.09,75.41,0,0,24.04,1.09,0,36.06,5.46,3.28,39.34,8.74,17.49
108-118,7.66,0,45.96,16.85,0.77,406.73,0.77,11.49,3.06,93.45,24.51,0,3.06,88.85,46.72,36,12.26,10.72,11.49,94.21,2.3,5.36,9.19,845.62,3.83,23.74,20.68,0,3.06,54.38,0,0,12.26,0.77,0,31.4,11.49,2.3,29.11,3.06,18.38
120,3.92,1.96,52.91,23.52,0,290.05,3.92,17.64,3.92,92.11,21.56,0,1.96,125.43,19.6,19.6,5.88,15.68,5.88,96.03,9.8,3.92,23.52,995.57,15.68,27.44,27.44,0,0,94.07,0,0,21.56,1.96,0,41.16,9.8,5.88,35.28,3.92,9.8
