stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,0.82,0,0,0.82,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,11.28,0.81,0,0,0,3.22,0
 48-58,0,0,0,1.72,0.57,0,0,1.15,0,16.07,0.57,0,0.57,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,10.8,0,0.98,0,0,0.98,0
 72-82,0,0,0,2.94,0.98,0,0,0.98,0.98,13.74,0,0,0,0,1.96,0
 84-94,0,0,0,2.12,1.06,0,0,0,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,5.46,0,0,1.09,0,0,0
108-118,0,0,0.77,0.77,1.53,0,0.77,0.77,1.53,3.06,0,0,0,0,0.77,0.77
120,0,0,0,1.96,0,1.96,0,0,0,3.92,0,0,0,0,0,0
