stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,76.23,7.89,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,94.41,25.18,0,0,50.35,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,1,12,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5,0,0,3,39,2,0,1,2,0,0,11,1,1,8,26,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,12.31,0,0.82,0,0,0,0,0.82,0,0,0,0.82,0,9.03,0,0,3.28,61.56,0,0.82,2.46,0,0.82,0.82,0,0,0,3.28,15.6,0,2.46,0,0.82
 36-46,0,0,0,0,0,0,0,14.5,0.81,0,0,3.22,0.81,0,0,0,0,0,0,0,7.25,0,0,3.22,56.4,0.81,0,0,0,0,0,0,0,0,0,19.34,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0,13.77,0,0,0.57,6.31,0,0,0,0,0,0,0,0,10.9,0,1.15,1.72,42.46,1.15,0,0.57,0,0,0.57,0,0,0.57,0,9.75,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0,32.39,0.98,0,0.98,3.93,0,0,0,0,0,0,0,0.98,18.65,0,0,0.98,30.43,0.98,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,24.54,0,0,0,4.91,0,0,0,0,0,0,0,0,11.78,0.98,0,0.98,29.45,0,0,2.94,0,0,0.98,0,0,0,0,1.96,0.98,0,0,0
 84-94,0,0,0,0,2.12,1.06,0,9.56,0,1.06,0,3.19,0,1.06,0,2.12,2.12,0,0,0,10.62,0,0,3.19,14.87,0,1.06,0,0,0,4.25,0,0,0,0,2.12,1.06,1.06,0,0
 96-106,0,0,0,0,1.09,2.19,0,7.65,0,0,0,3.28,0,0,0,0,0,1.09,1.09,0,14.21,0,0,1.09,15.3,0,0,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,1.53,0,0.77,6.89,0,0,0,2.3,0.77,0,0,0.77,0,1.53,0,0.77,10.72,0,0,2.3,14.55,0.77,0.77,0.77,0,0,0,0,0,0,0,0.77,0.77,2.3,0,0.77
120,0,0,0,0,5.88,0,0,3.92,0,0,3.92,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96,7.84,1.96,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0
