stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,144.96,3386.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0
  5-6,73.56,655.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,42.06,0,10.51,0,15.77,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,9.44,3.15,0,0,0,0
 14-21,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,10,0,1,0,3,0,1,2,0,0
 24-34,0,0,0,0.82,0.82,4.93,0,0.82,0,0,0,0,0,4.1,0.82,0.82,23.8,0,0,0,0.82,0,0,4.1,0.82,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0.81,0,0.81,12.89,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0.57,1.15,0.57,0,0,0,0,0.57,0,1.72,0,0,5.16,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,1.96,0.98,0,2.94,2.94,0,0,0,0,3.93,0,0,4.91,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,1.06,5.31,0,0,0,0,3.19,0,0,2.12,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,1.09,3.28,6.56,0,0,5.46,0,0,0,0,1.09,0,1.09,4.37,1.09,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0,4.6,2.3,0,0.77,0,0.77,2.3,0,0,6.13,0,0,0,0.77,0,0,0,1.53,0
120,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,1.96,0,0,3.92,0,0,0,1.96,0,0,1.96,0,1.96
