stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.64,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610.51,3.15,0,0,62.94,3.15,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,28,2,6,0,0,0,72,1,1,0,0,0,1,0,0,1,0,0,0,824,3,3,18,1,0,16,3,485,0,0,0,0,1
 24-34,0,0,0,0,3.28,0.82,1.64,0,0,0,102.61,0,0,0,0.82,0,18.06,0,0,2.46,0,0,0.82,489.23,0,28.73,3.28,0,1.64,1.64,1.64,400.58,0,0,0,0,0
 36-46,0,0,0.81,0,2.42,0,4.83,0,0,0.81,53.98,0,0,0,0,0,0.81,0,1.61,0.81,2.42,0,0,165.16,0,30.62,0,0,1.61,0,0,214.31,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,27.54,0,0,0.57,47.05,0,0,0.57,1.15,0,3.44,0,0,2.3,1.72,1.15,0.57,52.79,0,30.99,2.3,0,0,0,0,111.89,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,94.23,0,0,0,38.28,0.98,0,0,0,0,8.83,0,0,2.94,1.96,0,0,77.54,0,35.33,2.94,0,0,0,0,55.95,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0.98,86.39,0,0,0,40.25,0,0,0,0,0,5.89,0.98,0,4.91,4.91,0,0.98,77.55,0,56.94,6.87,0,0,0,0,33.38,10.8,0,0,0,0
 84-94,0,0,2.12,0,3.19,0,53.1,0,1.06,0,27.61,5.31,0,0,1.06,1.06,6.37,1.06,0,1.06,3.19,1.06,0,54.16,0,36.11,18.05,0,2.12,1.06,0,27.61,13.81,0,2.12,0,0
 96-106,0,0,4.37,0,1.09,2.19,53.55,0,1.09,0,39.34,8.74,0,1.09,1.09,0,10.93,0,0,7.65,5.46,2.19,0,49.18,0,69.94,21.86,0,2.19,0,0,42.62,21.86,0,0,1.09,0
108-118,0,0,1.53,0,1.53,0,73.53,0,0,0.77,35.23,6.13,0,0,3.06,0,6.89,0,0,2.3,1.53,0,0,49.79,0,47.49,12.26,0,0.77,0,0,19.15,36.77,0,0.77,0,0
120,0,0,3.92,0,1.96,0,35.28,1.96,0,0,15.68,1.96,0,0,0,0,11.76,0,0,1.96,0,0,0,56.83,0,31.36,13.72,0,0,0,0,5.88,13.72,0,0,0,0
