stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,15,1,0,0,0,1,1,0,12,0,0,0
 24-34,0,0,0.82,1.64,0,4.1,0,0,0,0,0.82,0,0.82,83.73,0,4.93,0,1.64,0,0,0,24.63,0,0,0
 36-46,0,0,0,0,0,15.31,0,0.81,0,0,0,2.42,0,294.87,0,5.64,0,0,0,0,0,38.67,0,0,0
 48-58,0,0,0,0.57,0,22.38,0,1.72,0,0,0,1.15,0,248.46,0,1.72,0,0,0,0,0,59.68,0,0,0
 60-70,0,0,1.96,0,0,23.56,0,5.89,0,0,0,1.96,0,285.62,0,0.98,0,0,0,0,0,41.22,0,0.98,0
 72-82,0,0,2.94,1.96,0,30.43,0.98,4.91,0,0,0,0.98,0,271.92,0,5.89,0,0.98,0,0,0.98,17.67,0,0,0.98
 84-94,0,0,1.06,0,2.12,29.74,0,2.12,1.06,0,0,2.12,1.06,159.31,1.06,5.31,0,1.06,0,0,0,11.68,0,1.06,0
 96-106,0,0,1.09,3.28,0,21.86,0,5.46,3.28,1.09,0,4.37,1.09,130.05,0,4.37,0,1.09,0,0,0,5.46,1.09,0,0
108-118,0,0,0,0,0,25.28,0,4.6,1.53,0,0,0.77,0.77,131.75,0,3.06,0,0.77,0,0,0,3.83,1.53,0,0
120,0,0,0,0,1.96,21.56,0,3.92,3.92,0,0,5.88,0,160.7,0,1.96,0,1.96,0,0,0,0,0,0,0
