stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,2,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,2,90,2,0,2,3,0,2,8,16,0,2,52,0,0,0,0
 24-34,0,0,4.93,3.28,0.82,0,27.91,0,0,0.82,13.95,3.28,0.82,0,0,0,0,2.46,0,3.28,0,0,4.1,256.11,0,5.75,4.1,0,0,4.1,0,42.68,0,1.64,67.31,0,0.82,0,0
 36-46,0,0,1.61,3.22,0,0,77.34,2.42,0,0.81,21.75,0,1.61,0,0,0,0,0,0,6.45,0,0,4.83,236.06,0.81,4.83,2.42,0,0,7.25,0,16.92,2.42,0,65.26,0,1.61,0,0
 48-58,0,0,0,3.44,0,0,117.06,0,0,0.57,39.59,0,1.15,0,0,0,0,0,0.57,17.21,0,1.15,1.72,148.62,0,2.87,2.3,0.57,0,1.72,0,13.77,0.57,0,52.22,0,1.15,0,1.15
 60-70,0,0.98,0,0.98,0,0,101.1,0.98,0,0,88.34,1.96,0.98,0.98,0,0,0.98,1.96,0,19.63,0,0,2.94,99.13,0,0.98,2.94,0,0,4.91,0,7.85,0,0,26.5,0.98,1.96,0,0
 72-82,0,1.96,0,0.98,0.98,1.96,72.64,0.98,0,0,136.45,10.8,0,0,0,0.98,1.96,0.98,0,40.25,0,0,1.96,103.07,0.98,8.83,9.82,0,0,2.94,0,21.6,0,0,18.65,4.91,1.96,0.98,0
 84-94,0,1.06,0,3.19,0,1.06,70.09,3.19,0,0,73.28,18.05,1.06,3.19,1.06,1.06,0,10.62,0,33.99,1.06,1.06,4.25,55.23,2.12,5.31,15.93,0,0,9.56,0,48.85,1.06,0,14.87,5.31,0,1.06,1.06
 96-106,0,3.28,0,9.84,0,1.09,64.48,3.28,0,2.19,79.78,33.88,1.09,6.56,0,0,5.46,14.21,0,31.69,0,1.09,6.56,67.76,0,6.56,21.86,1.09,3.28,15.3,0,46.99,0,0,13.11,12.02,5.46,0,0
108-118,0,1.53,0.77,5.36,0,9.96,63.57,5.36,0.77,0,83.49,105.7,0,0.77,0.77,0,3.06,22.21,0,33.7,0.77,0.77,3.06,74.3,1.53,4.6,19.15,0,0,13.02,0,50.55,3.06,0,9.96,13.79,0.77,0,0.77
120,0,1.96,0,15.68,0,7.84,74.47,0,0,1.96,68.59,115.63,0,0,0,0,0,15.68,0,21.56,0,0,0,58.79,1.96,5.88,11.76,0,0,9.8,0,45.08,0,0,9.8,5.88,1.96,0,0
