stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,16,1,0,1,1,1,5,7,0,0
 24-34,0,0,0,0.82,0,5.75,0,0,0,0.82,0,0,0,1.64,0,0,4.93,0,0,0.82,41.86,0,0.82,0,0.82,0,0.82,8.21,0.82,0.82
 36-46,0,0,0,0,0,2.42,0,0,0,1.61,0,0,0,0,0,0.81,4.03,0,0,0,49.95,0,0.81,0,0.81,0,0,8.06,0,0
 48-58,0,0,0,1.15,0,12.62,0,0,0.57,1.15,0,0,0,0,0.57,0,4.02,0,0.57,1.15,29.26,0,1.72,0,1.72,0,0,3.44,0,0
 60-70,0,0,0,0,0,18.65,1.96,0.98,0,1.96,0,0,0,0,0.98,0,5.89,0,0,0,30.43,0,0.98,0,0.98,0,0,1.96,0,0
 72-82,0,0,0,0.98,0.98,11.78,0,0,0,0.98,0,0,0,0,0,0,5.89,0,0.98,0,25.52,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,7.43,0,0,0,4.25,0,1.06,1.06,0,0,0,5.31,0,1.06,1.06,9.56,0,1.06,0,2.12,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,2.19,0,0,0,1.09,0,0,0,0,0,0,10.93,0,0,0,5.46,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,1.53,0,3.83,0,0.77,0,3.06,0.77,0,0,0.77,0,0,2.3,0,0,0,11.49,0,0.77,0,0,0,0,0,1.53,0
120,0,0,0,9.8,0,5.88,0,1.96,0,0,0,0,0,1.96,0,0,1.96,1.96,0,1.96,15.68,0,0,0,0,0,0,0,0,0
