stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,5,8,0,0,0,0,0,1,0,0,203,67,2,0,0,4,0,0
 24-34,0,0,0,0,1.64,1.64,4.1,17.24,0,0,0,0,0,4.93,0.82,0,0,0.82,0,9.85,0,0,18.88,45.15,0.82,0,1.64,0,0,2.46,0,0,80.44,64.03,4.1,0,0,36.94,0,5.75
 36-46,0,0,0.81,0,3.22,0,1.61,19.34,0,0,0.81,0,0.81,3.22,0,0,0,0.81,1.61,8.06,0,0,8.06,29.81,0,0,0,0,0,0.81,0,0,41.09,4.03,4.83,0,0,33.84,0,5.64
 48-58,0,0,0,0,0.57,0,7.46,19.51,1.15,0,0.57,0,0.57,4.02,0,0,0,1.15,8.61,12.05,0.57,0,10.9,33.28,0.57,0,0,0,0,0,0,0,24.1,0,3.44,0,0,26.97,0,7.46
 60-70,0,0,0,0,0.98,1.96,1.96,22.58,0.98,1.96,0,0.98,0,10.8,0,2.94,0,0,5.89,16.69,0,0,11.78,18.65,2.94,0,0,0,0,0,0,0.98,27.48,0,3.93,0,0.98,35.33,0,8.83
 72-82,0,0,0,0,3.93,0,5.89,23.56,3.93,1.96,0.98,0,0.98,8.83,0,0,0,0,3.93,47.12,0,0.98,11.78,26.5,0,0.98,0,0,0,0.98,0,0,16.69,0,1.96,0,0.98,51.05,0,5.89
 84-94,0,0,0,0,6.37,1.06,6.37,22.3,1.06,1.06,3.19,0,1.06,35.05,2.12,6.37,1.06,0,26.55,25.49,1.06,1.06,5.31,14.87,0,0,0,0,2.12,2.12,0,0,19.12,0,2.12,5.31,1.06,46.73,2.12,8.5
 96-106,0,0,0,0,8.74,6.56,13.11,20.76,1.09,2.19,6.56,6.56,4.37,24.04,0,6.56,0,1.09,8.74,52.46,0,0,9.84,22.95,0,0,0,0,2.19,7.65,0,0,14.21,0,1.09,1.09,2.19,36.06,4.37,9.84
108-118,0,0,0,0,14.55,0.77,6.89,19.92,2.3,2.3,1.53,15.32,0,26.81,2.3,10.72,0.77,3.06,19.92,52.09,0,0.77,7.66,22.98,0,0.77,0,0,2.3,3.06,0,0,14.55,0,0,0.77,0.77,36,0,11.49
120,0,0,0,0,13.72,5.88,3.92,21.56,0,3.92,1.96,21.56,0,48.99,0,11.76,0,1.96,7.84,43.12,0,3.92,7.84,23.52,0,0,0,0,1.96,7.84,0,0,1.96,0,3.92,0,0,21.56,0,5.88
