stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,52.57,0,0,0,18.4,0,0,0,0,0,0,0
 10-12,3.15,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,1,1,0,3,2,0,0
 24-34,0,0,0.82,6.57,0,0,8.21,0,0.82,0.82,1.64,0.82,0,0,0.82,0,0,0,0,5.75,0.82,1.64,36.12,4.1,0.82,1.64,0,26.27,1.64,0,0.82,4.93,3.28,0
 36-46,0,0,0,8.86,0.81,0,9.67,0.81,4.03,0,0,0.81,0,0,0.81,0.81,0,0.81,0.81,3.22,0,0.81,21.75,0.81,0,1.61,0,24.17,0,1.61,0,2.42,0.81,0
 48-58,0,0,0,3.44,0.57,0,8.03,1.15,1.72,0,0.57,1.72,0.57,0,0.57,0,0,0,0.57,4.59,0,1.15,21.23,0,0,0,0,10.33,1.15,1.72,0,2.3,2.3,0
 60-70,0,0,0,7.85,0,0,17.67,2.94,2.94,0.98,4.91,0.98,0.98,0.98,0.98,0,0.98,0.98,0,9.82,0,0.98,27.48,0.98,2.94,0.98,0,15.7,0.98,0.98,0,4.91,0,0
 72-82,0,0,0,6.87,0.98,0,9.82,0.98,0.98,0,7.85,0,0,0,0,0,0,1.96,1.96,10.8,0.98,0.98,13.74,0.98,0,0,0,7.85,0,0,0,2.94,0,0.98
 84-94,0,0,0,3.19,1.06,0,7.43,0,1.06,0,2.12,2.12,0,0,0,0,3.19,1.06,1.06,6.37,0,2.12,8.5,0,1.06,0,0,12.74,3.19,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,1.09,0,0,0,0,3.28,0,1.09,4.37,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0.77,5.36,0.77,0.77,0,1.53,2.3,0,0,0,3.06,0,0,0.77,1.53,0,1.53,3.06,0,1.53,0,0,3.83,0,0,0,0,0,0.77
120,0,0,0,9.8,0,0,5.88,3.92,1.96,0,3.92,1.96,0,0,3.92,5.88,3.92,0,1.96,7.84,0,9.8,5.88,0,0,1.96,0,9.8,0,0,0,3.92,0,0
