stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,immune,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
 24-34,0,3.28,0,2.46,0,0,0,0,1.64,0,0,1.64,0,0,14.78,0,0.82,0.82,0.82,4.1,0,0,0,0,0
 36-46,0,2.42,0,1.61,0.81,0,0,0,0.81,0,0,0.81,0,0.81,23.36,0,0,0,2.42,6.45,0,0,0.81,0,0
 48-58,0,0,0,1.72,0.57,1.72,0,0,0,0,0,0.57,0,1.15,22.38,1.15,0,0,0.57,4.59,0,0,0,0,0
 60-70,0,3.93,0,6.87,0,0,3.93,0,1.96,1.96,0.98,3.93,0,0,64.78,0,0,0,0.98,10.8,0,0,0,0,0
 72-82,0,1.96,1.96,15.71,0,0,4.91,0.98,0.98,0.98,0,4.91,0,0.98,53.01,0,0,0,0.98,3.93,0.98,0.98,0.98,0,0
 84-94,0,0,0,6.37,0,0,1.06,0,1.06,0,0,3.19,0,1.06,31.86,0,0,0,0,3.19,0,0,0,0,0
 96-106,0,0,1.09,3.28,1.09,1.09,2.19,0,0,0,0,1.09,0,1.09,18.58,0,0,0,1.09,1.09,0,0,1.09,0,0
108-118,0.77,2.3,0,5.36,0.77,0,0,0,1.53,0,0.77,1.53,0,0,26.04,0,0,0,0,0.77,0,0,0.77,0,0.77
120,0,5.88,0,3.92,0,1.96,0,0,0,0,0,1.96,1.96,0,25.48,0,1.96,0,1.96,0,0,0,1.96,1.96,0
