stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,5,0,0,0,0
 24-34,0.82,0,6.57,0,0,0,0,0.82,0,0,0,0.82,0,2.46,0,0,2.46,58.28,1.64,0,0.82,4.93,0,1.64,16.42,0,0,1.64,0
 36-46,4.03,0.81,11.28,0,0,0,0,0,0,0,0,0.81,0,6.45,0.81,0,2.42,44.31,0,0,0.81,1.61,0.81,0,10.47,0,0,0.81,0
 48-58,2.3,0,20.08,1.15,0,0,2.87,0,0.57,0,0,0.57,0,3.44,0,0.57,2.3,38.44,0,1.15,0.57,2.3,0,0,7.46,0,0,0.57,0
 60-70,3.93,0,14.72,0,0,0,0.98,0,0,0,0.98,0,0,6.87,0,0.98,1.96,16.69,0,0,2.94,0.98,0,0,1.96,0,0,1.96,0.98
 72-82,0,1.96,31.41,0.98,1.96,0.98,5.89,0,0,0,0,1.96,0,12.76,0,0.98,0,36.32,0,0,0.98,0.98,0,0,3.93,0.98,0,0.98,0
 84-94,1.06,0,5.31,0,0,0,2.12,0,0,0,0,0,0,4.25,0,1.06,0,8.5,0,0,2.12,2.12,0,0,0,0,1.06,0,0
 96-106,0,0,5.46,0,0,0,1.09,0,1.09,0,0,1.09,0,4.37,0,0,1.09,6.56,0,0,0,2.19,0,0,0,0,0,1.09,0
108-118,2.3,0,4.6,0,0,0.77,1.53,0.77,0,0,0.77,0.77,0,4.6,0.77,0,0.77,13.79,0,0,0.77,4.6,0,0,0,0,0,0.77,0
120,7.84,1.96,25.48,0,0,1.96,1.96,1.96,0,1.96,0,0,1.96,1.96,0,1.96,0,25.48,0,0,0,7.84,0,0,0,1.96,0,1.96,0
