stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,melanocytes,mesenchyme,neural,pericytes,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,4.93,0,3.28,0
 36-46,0,0.81,0,0,0,0,0.81,17.72,0,1.61,0
 48-58,0,5.16,0.57,0,1.72,0,2.3,21.8,0,5.74,0.57
 60-70,0,5.89,0,0,0.98,0,1.96,17.67,0,2.94,0.98
 72-82,0,7.85,0,0,1.96,0,0.98,13.74,0,1.96,0
 84-94,1.06,5.31,0,0,0,1.06,2.12,6.37,0,0,0
 96-106,0,1.09,0,0,0,0,0,6.56,1.09,1.09,0
108-118,0,1.53,0,0,0.77,0,0.77,3.06,0,0.77,0.77
120,0,0,0,0,1.96,0,3.92,3.92,0,0,0
