stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,23,3,0,0,1,0,0,1,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,7,1,1,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0,27.91,0,0,0.82,0.82,0,0,0,4.1,2.46,0,0,0,0.82,0.82,0,1.64,10.67,0,0,0,0,0,27.09,0,0,0,0,0.82,0.82,0,0,2.46,0,0
 36-46,0,0,0,0,16.11,0,0,3.22,3.22,0.81,0,0.81,1.61,1.61,0,0,0,4.03,1.61,0,0.81,4.03,0,1.61,0,0,0,20.95,0,0,0.81,0,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,12.62,0,0,1.72,2.3,0,0,0,4.59,0,0,0,0,1.72,0,0,0,12.62,0,0.57,0,0,0,21.23,0,0,0.57,0,0,1.15,0,0,1.15,0,0.57
 60-70,0,0,0,0,17.67,0,0,5.89,6.87,0,0.98,0,6.87,0,0,0,0,4.91,0,0,0,2.94,0,0,0,0,0,20.61,0,0,0,0,0,0.98,0,0.98,3.93,0,0.98
 72-82,0,0,1.96,0,16.69,0.98,0,5.89,2.94,0,6.87,0,7.85,0.98,0,0,0,2.94,0,0,0.98,6.87,0,0.98,0,0,0,15.71,0,0,0.98,0,0,0,1.96,0,2.94,0,0
 84-94,0,0,4.25,0,53.1,0,0,3.19,7.43,0,8.5,0,21.24,1.06,0,1.06,0,2.12,1.06,1.06,0,4.25,0,1.06,0,0,1.06,73.28,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,42.62,1.09,0,6.56,2.19,2.19,8.74,0,25.14,4.37,1.09,0,0,6.56,1.09,0,1.09,6.56,0,2.19,0,0,0,46.99,0,0,0,0,0,0,6.56,1.09,4.37,0,0
108-118,0,0,0,0,49.79,0,0.77,6.13,13.02,0.77,4.6,0,25.28,1.53,0,3.83,0.77,5.36,3.06,0.77,0,5.36,0,0.77,1.53,0,0,39.06,0,0,0,0,0,0,3.83,0.77,2.3,0.77,0
120,0,0,1.96,0,41.16,0,1.96,1.96,1.96,0,7.84,0,21.56,0,0,0,0,0,0,0,0,5.88,0,5.88,0,0,0,43.12,0,0,1.96,1.96,0,0,0,0,5.88,0,0
