stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6,83,28,0,22,0,1,0,8,6,1,2,0,1,0,0,0,1,22,0,0,18,225,3,0,3,4,0,14,25,5,60,65,0,0,2,0,0
 24-34,0.82,2.46,26.27,1.64,0,43.51,0,0.82,0.82,6.57,3.28,0,1.64,3.28,2.46,0.82,0,0.82,0.82,37.76,0.82,0,13.13,263.49,0.82,2.46,4.1,0,0,21.34,0,1.64,4.1,63.21,0,0,4.93,0,0
 36-46,0,0.81,12.09,0.81,0,29,0,2.42,1.61,7.25,0,0,0.81,1.61,0,0,0.81,0.81,1.61,26.59,0.81,0.81,4.03,177.25,0,0.81,3.22,0,0,18.53,0,0.81,0,29,0,0,3.22,0,1.61
 48-58,0,0,5.74,0,0,53.94,0,0,1.15,9.18,0,0,0,4.59,0.57,0.57,0.57,0.57,1.72,24.67,2.3,2.3,5.74,114.19,1.72,0.57,1.72,0,0,9.75,0,0,0,16.07,0,0.57,1.72,0,1.15
 60-70,0.98,0,9.82,0,0,47.11,0,1.96,0,9.82,0.98,0,0.98,6.87,0,0,0,0,0.98,26.5,1.96,1.96,4.91,53,0,0,2.94,0,0,8.83,0,0,0,9.82,0.98,0,2.94,0,0
 72-82,1.96,0,9.82,6.87,0,45.16,0,0.98,3.93,21.6,6.87,0,0.98,16.69,3.93,0.98,4.91,0,0,28.47,1.96,0.98,3.93,50.06,0,1.96,2.94,0,0,7.85,0,0,0,1.96,0,0.98,0.98,2.94,0.98
 84-94,3.19,0,15.93,1.06,0,55.23,0,6.37,2.12,19.12,7.43,0,0,32.92,5.31,2.12,0,1.06,1.06,29.74,2.12,1.06,4.25,45.67,0,2.12,1.06,0,0,10.62,0,1.06,0,2.12,5.31,0,1.06,1.06,0
 96-106,1.09,0,19.67,0,1.09,34.97,1.09,1.09,0,7.65,5.46,0,0,28.41,2.19,0,1.09,0,0,16.39,2.19,1.09,0,29.51,0,1.09,5.46,0,3.28,25.14,0,0,0,2.19,0,1.09,1.09,0,1.09
108-118,0,0,31.4,1.53,5.36,17.62,0,4.6,3.06,12.26,5.36,0,0.77,24.51,3.83,1.53,0.77,0.77,0,25.28,0,3.06,8.43,45.96,0,2.3,6.13,0,0,12.26,0,0,0,1.53,0,0.77,4.6,0.77,0.77
120,0,0,19.6,5.88,0,15.68,0,3.92,0,7.84,7.84,0,1.96,27.44,1.96,0,1.96,0,0,13.72,0,1.96,0,37.24,0,0,1.96,0,0,11.76,0,0,0,1.96,0,0,3.92,0,0
