stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,12.31,0,0,32.83,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0.81,8.86,0,0,24.17,1.61,0,0.81
 48-58,0,0.57,0,0,0,0,0,0,0.57,0.57,0,0,0,0,3.44,0,0,13.2,0,0,0
 60-70,0,0,0,4.91,0,0,0,0,0.98,0,0,1.96,0,0,4.91,0,0,11.78,0.98,0.98,0
 72-82,0,0,0.98,2.94,0,0,0,0,0,0,0,0,0,0,0.98,0,0,27.49,0,0,0.98
 84-94,0,1.06,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,3.19,45.67,0,0,0
 96-106,0,1.09,1.09,4.37,0,1.09,1.09,0,0,2.19,0,4.37,1.09,0,5.46,1.09,2.19,55.74,0,0,0
108-118,0,0.77,0,1.53,0.77,3.06,0.77,0.77,0.77,0.77,0.77,2.3,0,0,3.06,0,0.77,41.36,0,0,0
120,0,1.96,3.92,0,0,1.96,0,0,0,0,0,3.92,0,3.92,7.84,0,1.96,39.2,0,1.96,1.96
