stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,4,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,4.93,12.31,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,5.64,27.39,1.61,0,0,0,0,0,0,0,2.42,0.81,0,0.81,0
 48-58,0,0,0,0,0,0,3.44,0,0,0,4.02,0,0,0,0,0,6.89,0,0.57,1.15,49.35,0,0.57,0,0,0,0,0,0,3.44,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,3.93,0,0,0,31.41,0,0,0,0,0,14.72,0,0,0,61.84,1.96,0,0,1.96,0,0,0,0,2.94,0,0.98,0,0
 72-82,0,0,5.89,0.98,0,0,23.56,0,0,0.98,103.07,0.98,0.98,0,0,0,41.23,0,0,1.96,77.55,0.98,0,0,1.96,0.98,0,0,0,9.82,0,0,2.94,0
 84-94,0,0,2.12,4.25,1.06,0,12.74,1.06,0,0,81.78,2.12,0,1.06,0,1.06,25.49,0,2.12,1.06,48.85,0,1.06,0,2.12,1.06,0,0,0,4.25,0,1.06,1.06,0
 96-106,0,0,4.37,8.74,1.09,1.09,27.32,0,4.37,0,140.98,1.09,1.09,0,0,2.19,59.01,0,2.19,3.28,68.85,3.28,4.37,0,13.11,8.74,0,0,0,5.46,0,1.09,3.28,0
108-118,0,0,2.3,2.3,3.06,0,17.62,0,1.53,0.77,130.98,1.53,3.83,0,0,0,42.89,0,2.3,3.06,85.02,0.77,3.83,0,8.43,3.83,0,0,0,2.3,1.53,0.77,1.53,1.53
120,0,0,0,9.8,1.96,0,29.4,1.96,0,1.96,150.9,1.96,1.96,0,0,1.96,45.08,1.96,0,1.96,62.71,0,3.92,0,11.76,1.96,0,0,0,1.96,0,7.84,1.96,1.96
