stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,77,0,0,0,0,0,1,0,1,1,0,3,14,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,2.46,0,0,0,3.28,0,0,0,0,0.82,0.82,0,12.31,0.82,0,0.82,92.76,0,0.82,4.1,0,0,0,0,0,0.82,0,0,33.66,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0.81,17.72,0,0,0,0,0,0,0,11.28,0,0,0.81,87.01,0,0,0,0,0,0,0,0,0.81,0,0,29,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,6.89,0,0.57,0,16.07,0,0,0,0,0,0,0,18.94,0,0,0.57,37.3,0,0,2.3,0,0,1.15,0,0,0.57,0,0,13.77,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,6.87,0,0,0,21.59,0.98,0,0,0,0,0,0.98,29.45,0,0,0.98,35.33,0,0,0.98,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,25.52,0,0,0,17.67,13.74,0,0,0,0,0,0.98,28.47,0,0,0,42.21,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,1.06,0,2.12,1.06,13.81,0,0,0,8.5,32.92,0,0,0,1.06,0,0,29.74,0,0,1.06,33.99,0,0,2.12,0,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0
 96-106,0,0,1.09,0,1.09,0,19.67,1.09,0,0,24.04,53.55,0,1.09,0,0,1.09,0,26.23,0,1.09,1.09,19.67,0,0,2.19,0,1.09,2.19,0,0,0,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0.77,0,2.3,0,14.55,0.77,0,0,19.15,62.81,0,0,1.53,1.53,1.53,0.77,12.26,0,0.77,0,36,0,0,3.06,0,0,1.53,0.77,0,0,0.77,0,0.77,0.77,0,0,0,0
120,0,0,0,0,0,0,3.92,0,0,0,9.8,80.35,0,0,0,0,0,1.96,13.72,0,0,0,31.36,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0
