stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,2.46,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,4.83,0,0,0,8.86,1.61,0,0.81,0,0.81,0,0,0
 48-58,0,0,0,0,2.3,0,0.57,0.57,0,0,0,0,0,0.57,0,0,2.3,0,0,0.57,12.05,0.57,0,0,0,0.57,0,0,0
 60-70,0,0,0.98,0,2.94,0,0.98,0.98,0,0,0.98,0,0,0.98,0,0,1.96,0,0,0,8.83,0,0.98,2.94,0,1.96,0,0,0
 72-82,0,0,0,0,6.87,0,0,0.98,0,0,0.98,0,0,0,0,0,2.94,0,0,0,23.56,0,0,0.98,0,2.94,0,0.98,0.98
 84-94,0,0,1.06,1.06,3.19,0,0,1.06,1.06,0,2.12,0,0,0,1.06,0,1.06,0,0,1.06,11.68,0,0,5.31,0,0,0,1.06,0
 96-106,0,0,2.19,0,8.74,1.09,0,2.19,0,1.09,0,0,0,1.09,0,0,5.46,0,0,0,10.93,0,1.09,4.37,0,0,1.09,0,0
108-118,0,0,4.6,1.53,8.43,0.77,0,3.06,0,0,1.53,0.77,1.53,0.77,0.77,0.77,3.83,0.77,0.77,0.77,23.74,0,1.53,4.6,0,0.77,0,0.77,0
120,0,0,27.44,3.92,11.76,9.8,3.92,7.84,3.92,0,1.96,3.92,0,0,0,1.96,23.52,0,0,3.92,52.91,1.96,3.92,23.52,1.96,0,1.96,3.92,3.92
