stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,1,0,0,13,0,0,0,1,1,1,0,2,3
 24-34,0,0.82,1.64,0.82,0.82,0,0,0.82,0,0.82,12.31,0,0,0,0,2.46,0,0,1.64,4.93
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,3.22,0,1.61,0.81,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.72,0,0,1.15,0,0.57,5.16,0,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,0.98,0,4.91,0,0,2.94,0,0,8.83,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0.98,0,0,1.96,0,0,2.94,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,1.06,0,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,2.3,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
