stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,134.85,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,2.63,10.51,0,0,0,15.77,0,0,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,73.6,15.77,0,0,44.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,25.18,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,163.64,15.73,0,0,59.79,0,0,0,0,18.88,0,3.15,0,0,0
 14-21,0,0,0,4,5,0,10,0,0,0,2,1,1,0,0,0,1,0,0,0,7,0,2,115,4,0,1,0,0,0,0,17,2,12,38,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,6.57,0,0,0,2.46,0,0,0.82,0,0,0.82,0,0,3.28,9.03,0,2.46,91.94,0,0.82,0.82,0,0,0.82,0,0,0,0.82,18.06,0,0,0.82
 36-46,0,0,0,0,0,0,15.31,0,0,0,8.06,0,0,0,0,0,0,0,0,1.61,6.45,0,0.81,57.2,0,0,0.81,0,0,0,0.81,0,0,0,14.5,0,0,12.89
 48-58,0,0,0,0,0,0,20.66,0.57,0,0.57,18.36,0,0,0,0,0,1.72,0,0,1.15,8.61,1.15,2.87,51.64,0,0,0,0,0,0,0,0,0,0,6.31,0.57,0,35
 60-70,0,0,0,0.98,0,0,11.78,0,0,0,60.85,0,0,0,0,0,6.87,0,0,0,23.56,0,0,43.19,0,0.98,0,0,0,0,0,0,0,0,2.94,0,0,48.09
 72-82,0,0,0,0,0.98,0,9.82,0,0,0.98,152.16,0,0,0,0,0,13.74,0,0,0,47.12,0.98,2.94,54.97,0,1.96,0,0,0,0.98,0,0,0,0,0.98,0,0,42.21
 84-94,0,0,0,1.06,0,0,20.18,0,0,1.06,115.76,0,0,0,0,0,11.68,0,0,1.06,60.54,0,3.19,30.8,2.12,1.06,1.06,0,0,1.06,0,0,0,0,0,2.12,0,44.61
 96-106,0,0,0,1.09,1.09,0,17.49,0,2.19,0,157.37,1.09,0,0,1.09,1.09,5.46,1.09,0,0,26.23,1.09,1.09,40.44,0,3.28,1.09,0,1.09,2.19,0,0,0,0,1.09,1.09,1.09,40.44
108-118,0,0,0,0,0,0.77,9.96,0,0,0,159.32,0,0,0,0.77,0,19.92,0,0,0,19.15,0,1.53,42.13,1.53,3.06,0,0,0,0.77,0.77,0,0,0,2.3,0.77,0,45.19
120,0,0,0,1.96,0,0,15.68,0,0,0,143.06,0,0,0,0,0,5.88,0,1.96,0,25.48,0,0,45.08,0,0,0,0,0,0,1.96,0,0,0,0,0,0,15.68
