stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,13,2,0,0,0,1,0,0,3,3,0,0,0,0
 24-34,0,0.82,0.82,4.1,0,4.93,0,0.82,0,0,0,0,0,0,0,3.28,0,0.82,65.67,0.82,2.46,0,0,1.64,0,0,0,34.48,0,0.82,0,0
 36-46,0,0,0,0.81,0,3.22,0,4.03,0,0,0,0,0,0,0,4.03,0.81,0,43.51,2.42,0.81,0,0,5.64,0,0,0,16.92,0,0,0,0.81
 48-58,0,0,0,0.57,0,7.46,0,5.74,0,0,0,0,0,0,0,6.89,0,0.57,35.58,1.15,1.15,0,0,1.15,0,0.57,0,8.03,0,1.72,0,0.57
 60-70,0,0,0,0,0,11.78,0,8.83,0,0,0,0,0.98,0,0,8.83,0,0.98,30.43,1.96,0.98,0,0,0,0,0,0,4.91,0,0,0,0.98
 72-82,0,0,0,2.94,0,9.82,0,9.82,0,0,0,0,0.98,0,0,9.82,0,0,29.45,0,0.98,0,0,0,0,0,0,2.94,0.98,1.96,0.98,0
 84-94,0,0,0,2.12,1.06,5.31,0,3.19,0,0,1.06,0,1.06,2.12,1.06,5.31,0,1.06,13.81,0,1.06,0,0,2.12,1.06,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,1.09,9.84,0,2.19,0,0,0,1.09,1.09,0,0,3.28,1.09,0,21.86,0,0,0,0,2.19,0,0,0,1.09,1.09,1.09,1.09,0
108-118,0,0,0,1.53,0,8.43,0.77,6.13,0.77,0,0,0,0.77,0,0,2.3,0,0,11.49,0,0,1.53,0,5.36,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,1.96,3.92,0,0,0,3.92,0,0,0,1.96,0,0,9.8,0,0,1.96,0,3.92,1.96,0,0,1.96,0,0,0,1.96
