stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,52.57,7.89,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,9,0,1,0,0,0,2,5,0,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,16.42,0,0,0,0,0,0.82,5.75,0.82,0,0
 36-46,0,0,0,0,0,0,0,8.86,0.81,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,17.72,0,0,0,0.81,0,0,5.64,0,0,0.81
 48-58,0,0,0,0,0,0,0,8.61,0,0,0.57,0.57,0,0,0,0,0,0,1.72,1.72,0,0.57,9.18,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,7.85,0,0,0,0.98,0,0,0.98,0,0,0,2.94,0.98,0,0,5.89,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,0.98,0,0,0,3.93,0,0,0.98,0,0,0,23.56,2.94,0,0,5.89,0,0,0,0.98,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,1.06,1.06,0,2.12,0,0,0,3.19,0,0,1.06,0,1.06,0,97.71,3.19,0,0,6.37,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,1.09,0,4.37,0,0,0,3.28,0,0,7.65,0,0,1.09,114.75,7.65,0,0,24.04,0,0,0,2.19,0,0,0,0,2.19,2.19
108-118,0,0,0,0,0.77,0,0.77,3.83,0.77,0.77,0.77,3.06,0,0,2.3,0,0,0,325.53,3.83,0,3.06,11.49,0,1.53,0,0,0,0,0.77,1.53,0,0
120,0,0,0,0,1.96,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0,148.94,1.96,1.96,0,15.68,1.96,0,0,0,0,0,0,0,0,0
