stage,epidermis,eye,glial,lateral_line,liver,melanocytes,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,3.15,0,3.15,0,0,0
 14-21,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
 24-34,0.82,0.82,0,0,0,0,0.82,0,10.67,1.64,0,0,0,2.46,0,0
 36-46,0.81,0,0,0,0,0,0,0,29,1.61,0,0,0,2.42,0,0
 48-58,0.57,2.87,0,0,0,0,0.57,0,50.49,0.57,0,0,0,5.74,0,0
 60-70,0,16.69,3.93,0,0,0,0.98,0,138.39,0,0,0,0,7.85,0,0
 72-82,0.98,21.6,3.93,0,0,0,3.93,0.98,146.27,0,0,0,0,4.91,0,0
 84-94,0,18.05,4.25,1.06,0,1.06,1.06,0,70.09,0,0,0,0,10.62,1.06,0
 96-106,1.09,17.49,5.46,0,1.09,0,1.09,0,62.29,1.09,0,1.09,0,1.09,0,1.09
108-118,0,19.92,1.53,0,0,0,0.77,0,65.11,0.77,0,0,0,2.3,0,0.77
120,0,7.84,1.96,0,0,0,0,0,74.47,0,0,0,0,1.96,0,0
