stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,7.39,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,1.15,0.57,0.57,0,0,0,0,0,0,1.15,0,0,4.59,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,0,3.93,0,0,1.96,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,4.91,0,0.98,4.91,0.98,0,0,0.98,1.96,2.94,0,0,3.93,0,0,0,0,0,0,0.98,0.98,0.98,0.98
 84-94,0,0,1.06,0,0,1.06,0,0,0,1.06,2.12,0,0,0,2.12,2.12,1.06,0,3.19,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,2.19,0,1.09,1.09,0,3.28,9.84,0,0,0,4.37,3.28,0,0,7.65,1.09,0,0,2.19,0,0,0,0,1.09,0
108-118,0,0,0,0.77,3.83,0.77,1.53,0,1.53,1.53,12.26,0,0.77,0,22.21,3.06,0,0.77,3.06,0,0.77,0,0,0,0,0.77,0.77,1.53,0
120,0,0,1.96,0,3.92,0,1.96,0,0,0,33.32,0,0,0,35.28,7.84,0,0,9.8,0,0,0,0,0,0,3.92,3.92,0,0
