stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,276.74,9132.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,202.28,6908.1,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,104.2,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,23.66,0,0,0,68.35,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,896.39,81.49,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.48,122.73,0,0,62.94,0,0,0,37.76,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,260,10,17,0,2,0,0,0,0,0,0,0,0,0,0,5,86,0,0,115,35,70,0,2,2,0,2,51,0,34,212,11,0,0,3,0,2
 24-34,0,0,1.64,146.93,0.82,10.67,0,19.7,7.39,0.82,0,0,2.46,0,0.82,0.82,0,0.82,10.67,229.84,0,0.82,105.07,55.82,29.55,0.82,1.64,0,0,0,3.28,0,4.93,38.58,9.85,0,0,3.28,0,15.6
 36-46,0,0,0,48.34,0.81,4.03,0,10.47,7.25,1.61,0,0,0.81,0,0,1.61,1.61,0.81,16.92,224.78,0,3.22,62.04,29,18.53,0.81,0.81,0,0,1.61,0,0,0.81,0,4.83,0,1.61,8.06,0,18.53
 48-58,0,0,0,39.59,0,10.33,0.57,16.07,16.64,2.87,0,0.57,1.72,0,0,3.44,0,0,12.05,307.56,0,0.57,47.63,30.99,6.31,0,0,0,0.57,0.57,0,0,0,0,2.3,0,2.3,6.89,0,13.2
 60-70,0,0,0,38.28,0,6.87,0.98,10.8,10.8,0,0,0,0.98,0,0.98,5.89,3.93,0,5.89,296.42,0,0.98,22.58,18.65,6.87,0,0.98,0,0.98,0,0,0,0,0,0.98,0.98,1.96,10.8,0,10.8
 72-82,0,0,0,52.03,0,17.67,0,10.8,14.72,3.93,0.98,0,0,0.98,1.96,4.91,2.94,0,11.78,434.88,0.98,4.91,39.27,19.63,3.93,0,0.98,0,1.96,0,0,0,1.96,0,0,0,8.83,18.65,3.93,12.76
 84-94,1.06,0,0,90.27,0,22.3,0,28.68,23.36,2.12,0,0,1.06,2.12,3.19,12.74,1.06,0,21.24,251.7,1.06,7.43,21.24,11.68,9.56,1.06,1.06,0,2.12,1.06,0,0,0,0,1.06,2.12,9.56,14.87,2.12,13.81
 96-106,0,0,0,61.2,0,7.65,0,20.76,17.49,4.37,1.09,0,4.37,1.09,1.09,14.21,3.28,1.09,12.02,252.45,0,6.56,18.58,24.04,4.37,1.09,1.09,0,6.56,0,0,0,0,0,0,0,6.56,14.21,3.28,13.11
108-118,0,0,0,78.89,0.77,13.79,0,22.21,10.72,0.77,0.77,0,3.06,1.53,3.06,34.47,0,2.3,24.51,212.17,0,0,11.49,25.28,11.49,1.53,0.77,0,2.3,2.3,0,0,0,0,0,0,6.89,9.19,2.3,18.38
120,0,0,0,111.71,0,15.68,0,37.24,17.64,3.92,1.96,0,5.88,0,0,9.8,0,0,13.72,203.82,3.92,0,19.6,23.52,9.8,1.96,1.96,0,5.88,0,0,0,0,0,0,1.96,5.88,7.84,0,7.84
