stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,5,11,0,0,0,0,0,2,1,9,0,1,0,0
 24-34,0,0.82,2.46,0.82,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,7.39,0,0,9.85,10.67,0,0,0,0,0.82,0.82,0,3.28,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,8.86,0,0,5.64,8.86,0.81,0,0.81,0,2.42,3.22,0,4.03,0,0.81,0,0
 48-58,0,0,1.15,0,2.3,0,0,0.57,0,0,0,0,0,0,0,0,0.57,5.16,0,0.57,1.15,1.15,1.15,0,0,0,0.57,0.57,0,3.44,0,2.87,0,0
 60-70,0,0,0,0.98,2.94,0,1.96,0.98,0,0.98,0,0,0,0,0,0.98,0,12.76,0,0,2.94,4.91,0.98,0,0,0,0,0.98,0,1.96,0,1.96,0,0
 72-82,0,0,3.93,4.91,0.98,0,0,0.98,1.96,0.98,0,0,0,0,0,0,0,11.78,0.98,0,1.96,2.94,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0
 84-94,0,0,1.06,6.37,0,1.06,1.06,1.06,2.12,2.12,0,0,1.06,0,0,1.06,2.12,12.74,0,0,1.06,1.06,1.06,0,0,0,2.12,0,0,0,0,4.25,2.12,1.06
 96-106,0,0,1.09,7.65,0,0,0,1.09,1.09,3.28,0,0,0,1.09,0,4.37,1.09,17.49,0,1.09,1.09,2.19,0,1.09,0,0,4.37,0,0,0,2.19,6.56,1.09,1.09
108-118,0,0,0,1.53,1.53,0,0.77,0,3.83,2.3,0,0.77,0.77,0.77,0.77,2.3,0,10.72,0,2.3,0,5.36,0,0,2.3,0,3.06,0.77,0,0.77,0.77,6.13,0,0
120,0,0,3.92,3.92,0,0,1.96,0,0,1.96,0,5.88,1.96,0,0,0,0,11.76,0,0,0,1.96,1.96,0,0,0,5.88,0,0,0,0,0,0,0
