stage,axial,blastomeres,eye,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,21.03,2.63,5.26,0,0,0
 10-12,0,0,0,0,0,15.73,0,18.88,0,3.15,0
 14-21,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0.77
