stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,30.65,471.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,21.03,0,0,0,39.43,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,260.24,18.4,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,6.29,0,0,0,50.35,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,361.9,6.29,0,0,100.7,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,1,5,1,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,3,54,0,0,2,2,0,1,5,0,1,7,16,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,9.03,0.82,0,1.64,0.82,0,0,0,0,0,1.64,0,7.39,0,1.64,185.51,0,2.46,1.64,0,0,0.82,0,0,0,0.82,43.51,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,30.62,0,0,6.45,0,0,0,0,0,0,2.42,0.81,2.42,0,0,230.42,0,3.22,2.42,0,0,0,0,0,0.81,0,53.17,0,0,0.81,0
 48-58,0,0,0,0,1.15,0,0,49.35,0,0,7.46,0,0,0,0,0,0,0,0,4.02,0,0,207.14,0,2.87,1.72,0,0,0,0,0,0,0,43.61,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,76.56,0,0.98,10.8,0,0,0,0.98,0,0,0,0.98,7.85,0,0.98,195.32,0,0.98,0,0,0,0.98,0,0,0,0,18.65,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,34.36,0,0.98,2.94,0,0,0,1.96,0,0,0,0,6.87,0,0,107.98,0,0.98,0.98,0,0,0,0,0,0,0,8.83,0,0,0,0.98
 84-94,0,0,0,0,3.19,0,0,25.49,0,0,5.31,0,0,0,0,1.06,0,0,0,6.37,1.06,1.06,47.79,0,1.06,0,0,0,1.06,0,0,0,0,6.37,1.06,1.06,1.06,0
 96-106,0,0,0,0,3.28,0,0,14.21,0,0,2.19,2.19,0,1.09,1.09,0,0,0,0,8.74,0,0,27.32,0,1.09,0,0,1.09,4.37,0,0,1.09,0,1.09,0,0,0,1.09
108-118,0,0,0,0,2.3,0,0.77,10.72,0,0,1.53,0.77,0,0,1.53,0,0.77,0.77,0,5.36,0,2.3,33.7,0,0.77,0,0,0,3.83,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,9.8,1.96,0,7.84,1.96,0,0,0,0,0,0,0,1.96,1.96,1.96,17.64,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
