stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,9.03,0,0,0,1.64,0,0,0.82,0,0.82,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,29,2.42,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,9.75,0,0,35.58,0,0,0,2.3,0,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,35.33,0.98,0,26.5,0.98,0,0,1.96,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,0,136.45,1.96,0,75.59,1.96,0,0,4.91,0.98,0,0,0,0,0.98,4.91,0.98,0.98
 84-94,0,0,0,1.06,49.92,2.12,0,87.09,1.06,0,0,2.12,0,0,0,0,0,7.43,3.19,1.06,0
 96-106,0,0,0,0,62.29,2.19,0,100.54,3.28,0,0,4.37,0,0,1.09,0,0,3.28,3.28,0,0
108-118,0,0,0,0,44.43,0.77,0.77,99.58,0,0.77,0.77,3.06,0,0,1.53,0,0,11.49,3.06,0,0
120,0,0,0,1.96,37.24,0,0,90.15,1.96,0,0,7.84,0,1.96,0,0,0,5.88,17.64,0,0
