stage,blastomeres,epidermis,eye,fin_epithelia,glial,heart,lateral_line,mesenchyme,muscle,neural,somites,spinal_cord
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,1
 24-34,0,0,1.64,0,0,0,0,1.64,0,4.93,0,1.64
 48-58,0,0,2.3,0,0,0,0,0.57,0,1.72,0,0
 60-70,0,0,2.94,0,0,0,0,0,0,1.96,0,0.98
 72-82,0,0,1.96,0.98,0,0,0.98,0,0,1.96,0,0
 84-94,0,1.06,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0.77,0.77,0,0,0.77,2.3,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0,0
