stage,blastomeres,epidermis,eye,fin_epithelia,gut,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm
  5-6,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,2.63,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0.82
 36-46,0,0.81,0,0,0,0,0,0,0.81,0,0
 48-58,0,0.57,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,1.06,1.06,1.06,0,0
 96-106,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,0,0,1.96
