stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,2,0
 24-34,0,0,0,0,0,0,0,3.28,0,0.82,0,0,17.24,0,0,0,0.82,0
 36-46,0,0,0.81,0.81,2.42,0,0,0.81,0,0,0,0,12.89,0,0,0,1.61,0
 48-58,0,0,0.57,0,2.3,0,0,0,0,0,0.57,0.57,17.21,0,0,0,2.3,0
 60-70,0,0,0,0,2.94,0,0,0.98,3.93,0,0,0,42.21,0.98,0,0,0.98,0.98
 72-82,0,0,0,0,2.94,0,0,4.91,0,0,0.98,0,28.47,0,0,0,0,0
 84-94,0,0,1.06,0,3.19,0,0,3.19,4.25,0,2.12,1.06,20.18,0,0,0,0,2.12
 96-106,0,0,2.19,0,0,1.09,0,7.65,4.37,0,2.19,0,8.74,1.09,0,0,0,0
108-118,0,0,3.06,0,0.77,0.77,0.77,4.6,3.83,0,0,0.77,20.68,0,0,0,0,0
120,0,0,0,1.96,1.96,3.92,0,11.76,1.96,0,0,0,15.68,0,0,0,0,0
