stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,31.54,2.63,10.51,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,37.76,0,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,1.64,6.57,0,0,0,1.64,0.82
 36-46,0,0.81,0,0.81,0,0,0,0,0,0.81,0,0,0,0,5.64,0.81,0,0.81,1.61,0
 48-58,0,0,0,1.15,0,0,0.57,0,0,0,0,0,1.15,0,5.74,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,4.91,0,0,0,0.98,0.98
 72-82,0,0,0,2.94,0,0.98,0,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,1.09,0,0,0,1.09,1.09,0,0,2.19,0,0,2.19,0,0
108-118,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,3.83,0,0,0.77,0.77,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0
