stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,2.63,0,0,0,0,0,7.89,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,22.03,0,3.15,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0.82
 36-46,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,0,0.57,0.57,0.57,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0.77,0,0.77,0,0,0.77,0
120,1.96,0,0,0,1.96,1.96,0,0,0,0,0,0
