stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,42,0,0,1,0,38,1,0,0,2,18,0,0,0,0,0
 24-34,0.82,0,0,0,4.93,0,0,3.28,0.82,0,0,0,3.28,0,0,0,0,1.64,0,0,0.82,128.87,0.82,0,0,0,2.46,0,0,0.82,0,39.4,0,0,0.82,0,2.46
 36-46,0,0.81,0,0,21.75,0,0,8.06,0,0,0,0,0,0,0,0,2.42,2.42,0,0,0,164.36,0,0,0,0,2.42,0,0,0,0,38.67,0,0,0.81,0,7.25
 48-58,0,0.57,0,0,43.04,0.57,0,14.35,0,0.57,0,0,0,1.72,0,0,3.44,3.44,0,0,0.57,188.21,0,0.57,0,0,0,0,0.57,0.57,0,33.28,0,0,0,0,4.59
 60-70,0.98,0,0,0,103.06,0,0,27.48,0,0,0.98,0,0,0,0.98,0,0.98,3.93,0,0,0,328.81,0.98,0,0,0,0,0,0,0,0,45.15,0,0,0,0,4.91
 72-82,0.98,0,0,0,98.17,0,0.98,36.32,0,0,0,0.98,1.96,0,0,0,4.91,9.82,0,0,0,325.91,3.93,0.98,0,0,0.98,0,1.96,0,0,29.45,0,0,0,0.98,3.93
 84-94,2.12,5.31,0,0,78.59,0,0,21.24,0,1.06,0,0,2.12,0,1.06,0,9.56,10.62,0,0,1.06,148.69,2.12,2.12,0,0,0,0,2.12,0,0,14.87,2.12,1.06,1.06,0,1.06
 96-106,1.09,1.09,1.09,1.09,78.68,0,1.09,28.41,0,0,0,0,0,3.28,1.09,0,3.28,9.84,0,0,1.09,140.98,4.37,5.46,0,0,0,0,0,0,0,8.74,2.19,1.09,0,1.09,7.65
108-118,0.77,2.3,0.77,0,62.81,0,0,19.92,0,0,0,0,0,1.53,0,1.53,7.66,9.96,1.53,1.53,0.77,185.36,0.77,0.77,0,0,0,0,0.77,0,0,6.89,4.6,0,0,0,5.36
120,0,1.96,0,0,33.32,0,0,19.6,1.96,0,0,0,0,0,0,0,5.88,3.92,0,0,1.96,152.86,0,0,0,1.96,0,0,0,0,0,3.92,0,1.96,0,0,0
