stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0
  7-9,0,5.26,0,7.89,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0
 24-34,0,0,0,1.64,0,1.64,0,0,0,22.98,0,0.82,0,0,0.82,0,1.64
 36-46,0,0,0,24.17,0,0.81,0,0.81,0,14.5,0,0,0,0,0,0,4.03
 48-58,0,0,0,22.38,0.57,2.3,0,0,0,5.74,0,0,0,0,0,0,0.57
 60-70,0,0,0.98,28.46,0,1.96,0.98,0,0,7.85,0,0,0,0,0,0,0
 72-82,0,0,1.96,17.67,0.98,0.98,0,0,0.98,2.94,0,0,0,0,0,0,0
 84-94,0,0,0,12.74,0,1.06,0,1.06,0,3.19,0,0,0,0,1.06,0,0
 96-106,0,0,0,10.93,0,0,0,1.09,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,10.72,0,0,0,0.77,0,3.06,0,0,0.77,0,0,0,0
120,0,0,1.96,11.76,0,0,0,0,0,1.96,0,0,0,0,0,0,0
