stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,18,0,0,0,0,6,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,76.34,1.64,0,0,0,19.7,0,0,0
 36-46,0,0,0,12.89,0,0,0.81,0,0.81,0,0.81,230.42,2.42,0,0,0,30.62,0.81,0,0
 48-58,0,1.72,0,32.71,0,0,0.57,0,2.87,0,1.15,265.1,1.72,0,0,0,30.41,0,0,0
 60-70,0,0,0,48.09,0,0,1.96,0,2.94,0.98,0,390.65,0.98,0,0,0.98,59.87,0,0,0
 72-82,0,0.98,0,36.32,0,0.98,3.93,0,1.96,0,0,204.19,0,0,0,0,22.58,0,0,0
 84-94,0,0,0,29.74,0,0,4.25,0,1.06,0,0,105.14,4.25,0,1.06,1.06,11.68,0,0,1.06
 96-106,0,0,1.09,21.86,0,0,4.37,1.09,0,0,0,67.76,1.09,0,0,1.09,3.28,0,0,0
108-118,0,2.3,0,11.49,0,0,0,0,0.77,0,0,84.26,1.53,0,0,0,3.83,0,0.77,0
120,0,1.96,0,9.8,1.96,0,1.96,1.96,0,0,0,92.11,0,0,0,0,3.92,0,0,0
