stage,epidermis,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural_cell,neural,notochord,olfactory,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,5.16,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0.98,0.98,0,5.89,0.98,12.76,0,0,1.96,0,0,0,0.98,0,0,0,0,2.94,0.98,0
 84-94,0,1.06,0,1.06,0,26.55,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0,1.06
 96-106,2.19,1.09,0,4.37,0,25.14,0,2.19,3.28,0,2.19,0,0,1.09,0,1.09,0,1.09,0,0
108-118,0.77,0,0.77,0,0,20.68,0,0,0.77,0.77,1.53,0.77,0,0,0,0.77,0.77,0,0,1.53
120,0,0,0,3.92,0,31.36,1.96,0,3.92,0,3.92,0,0,0,0,0,0,0,0,0
