stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1792.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,533.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,23.66,0,7.89,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,22.03,0,18.88,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,23,15,0,16,0,0,0,0,1,3,1,41,18,0,1,9,0,3,1,0,1,72,1,0,1,2,0,46,3,3,0,2,38,0,0,1,0,1
 24-34,0,0,0.82,2.46,12.31,5.75,0,15.6,0.82,0,0,5.75,6.57,0,0,87.83,27.09,0,0,31.19,0.82,6.57,2.46,0,1.64,123.95,0,2.46,5.75,0,0,77.16,0,14.78,0.82,1.64,40.22,0,0,12.31,0,0
 36-46,0,0,0,0,11.28,0.81,0,11.28,1.61,0,0,13.7,11.28,0,0.81,111.18,9.67,0,1.61,16.11,0,13.7,3.22,0,2.42,95.07,0,4.83,2.42,0,0,79.76,1.61,7.25,0.81,0.81,19.34,0,0,9.67,0,0.81
 48-58,0,0,1.15,0.57,14.92,1.72,0,18.36,0.57,0.57,0,16.64,25.82,0,2.87,124.52,5.16,0,2.3,16.07,0,14.92,6.31,0,1.72,49.35,0,5.74,8.03,0,0,61.4,0,6.31,0,0,15.49,0,0,22.38,0,1.72
 60-70,0,0,1.96,0,30.43,9.82,0,20.61,0.98,2.94,0,31.41,53.98,0.98,4.91,155.08,10.8,0,4.91,21.59,0,35.33,10.8,0,2.94,37.3,0,4.91,7.85,0,0.98,141.34,0,7.85,0,0,6.87,0.98,0.98,19.63,0,0
 72-82,0,0,37.3,3.93,107.98,46.14,2.94,39.27,0.98,4.91,0,39.27,199.28,0,5.89,198.3,31.41,0.98,5.89,35.34,0,62.83,19.63,1.96,3.93,81.48,0,9.82,13.74,0,0.98,285.66,0,7.85,0,0,8.83,16.69,1.96,28.47,0.98,0
 84-94,0,0,19.12,6.37,199.66,32.92,8.5,13.81,0,14.87,0,22.3,347.29,2.12,4.25,248.52,56.29,0,7.43,135.94,0,48.85,14.87,3.19,4.25,48.85,0,35.05,15.93,0,0,727.5,0,18.05,0,0,4.25,73.28,2.12,28.68,1.06,2.12
 96-106,0,0,38.25,12.02,412,45.9,7.65,62.29,1.09,38.25,3.28,36.06,571.56,0,10.93,339.88,115.84,1.09,12.02,187.97,1.09,71.04,43.71,6.56,7.65,168.3,2.19,39.34,31.69,0,1.09,1546.38,0,19.67,2.19,0,4.37,158.46,2.19,56.83,8.74,3.28
108-118,0,0,19.92,21.45,367.66,22.21,16.85,31.4,3.06,38.3,3.06,29.87,568.34,0,3.83,248.17,118.72,0.77,8.43,237.45,0,48.26,32.94,3.83,6.13,114.13,1.53,27.57,24.51,0,0.77,1132.86,0.77,19.15,0.77,0,1.53,144,0,36.77,5.36,0.77
120,0,0,17.64,0,260.65,41.16,0,17.64,0,29.4,0,19.6,295.93,1.96,5.88,327.28,60.75,0,5.88,101.91,0,56.83,23.52,1.96,1.96,105.83,1.96,7.84,19.6,0,0,966.17,1.96,1.96,0,0,1.96,37.24,3.92,31.36,1.96,0
