stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,8,0,0,0,0,0,1,1,0,0,10,0,15,1,0,11,33,0,0,4
 24-34,0,0,1.64,0.82,7.39,0,0,7.39,0,0,0.82,0,0,14.78,0.82,0,1.64,34.48,0.82,85.37,0.82,0,4.93,26.27,0,0.82,7.39
 36-46,0,0,1.61,0,4.03,0,0,0,0,1.61,0,0,0,16.92,2.42,0,0,55.59,0,78.96,0,0,4.03,16.92,0,0,0.81
 48-58,0,0,0.57,0,4.59,0,0,4.59,0,0,0,0,1.15,7.46,0.57,0.57,0,33.85,0,50.49,1.72,0,4.02,9.75,0,0,0.57
 60-70,0,0,0.98,0,4.91,0,0,3.93,0,0,0,0,2.94,1.96,0.98,0,0.98,21.59,0,47.11,3.93,0,0.98,5.89,0,0,0
 72-82,0,0,1.96,0,5.89,0.98,0,3.93,0,0,0,0,5.89,0,1.96,0,0,31.41,0,100.13,3.93,0,0.98,0.98,0,0,0
 84-94,0,1.06,1.06,0,5.31,0,0,11.68,0,0,0,3.19,6.37,1.06,3.19,0,0,15.93,0,91.34,8.5,0,7.43,4.25,0,0,0
 96-106,0,1.09,0,0,9.84,0,1.09,2.19,1.09,1.09,0,0,9.84,2.19,1.09,0,0,21.86,0,158.46,10.93,1.09,5.46,5.46,0,0,0
108-118,0,0.77,0,0,6.13,0,0,5.36,0,0,0,0.77,2.3,0,0.77,0.77,0,24.51,0,98.81,0.77,0.77,3.83,1.53,1.53,0,0
120,0,0,1.96,0,7.84,0,0,0,0,0,0,0,3.92,0,3.92,0,0,19.6,0,58.79,1.96,0,5.88,1.96,0,0,0
