stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0.82,0,17.24,0,0.82,0,0,0,0,0.82,0,1.64,1.64,0,0
 36-46,0,0,0,0.81,0.81,0,0.81,0,0,0,0.81,0,99.1,0.81,8.86,0,0,0,0,0,0.81,0,16.92,0,0
 48-58,0.57,0.57,0,6.89,0,0,1.15,0,0,0,0.57,0.57,123.94,0,5.16,0,0,0,0,0,0,0,8.61,0,0.57
 60-70,0.98,0,0,110.91,0.98,0.98,4.91,0,0,0,1.96,0.98,355.31,0,3.93,0,0,0,0,0,0,0,25.52,0,0
 72-82,2.94,0,0,107.98,0,0,8.83,0,0.98,0.98,8.83,0,246.4,0,9.82,0.98,0,0,0,0,0,0,12.76,0,0.98
 84-94,2.12,4.25,0,64.78,2.12,0,7.43,0,0,1.06,2.12,0,148.69,0,5.31,0,0,0,0,0,0,0,16.99,1.06,0
 96-106,0,2.19,1.09,71.04,0,0,10.93,1.09,0,0,5.46,0,109.28,0,2.19,1.09,0,1.09,0,1.09,0,0,4.37,0,1.09
108-118,1.53,3.83,0,45.19,0,0,9.19,0.77,0,0,2.3,0.77,127.92,0,4.6,0,0,0,0,0,0,0,4.6,0,0
120,1.96,1.96,0,27.44,0,0,9.8,0,0,0,0,0,145.02,0,3.92,0,0,0,0,1.96,0,0,1.96,0,0
