stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,10.51,0,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,15.73,3.15,0,6.29,0,0,0,0
 14-21,0,1,0,0,0,0,3,0,0,0,0,0,2,1
 24-34,0,0,0,0,0,0,4.93,0,0,0,1.64,0.82,0,2.46
 36-46,0,0,0,0,0,0.81,4.83,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,1.15,0,2.3,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0.98,0,4.91,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,2.94,0,0.98,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0
