stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,16,3,0,0,0,0,0,0,0,0,0,0,26,0,0,45,18,2,0,0,3,0,2,0,4,25,13,0,0,0,0,0
 24-34,0,0,0.82,81.26,0,5.75,4.93,0.82,0,0,0.82,0,0.82,0,0,101.79,0,0,65.67,33.66,6.57,0.82,0,0,0,9.85,0.82,0,2.46,18.06,0,0,2.46,0,0
 36-46,0,0,0,49.95,0,3.22,8.86,2.42,0,0.81,1.61,0,0,0,0,140.19,0,0,31.42,21.75,9.67,0,0.81,0,0,8.06,0,0,0,4.03,0,0,0,0,0.81
 48-58,0,0,0,40.17,0,6.89,5.74,6.89,2.87,0.57,1.72,0,0,0,0,136.57,0,0.57,25.82,9.75,2.3,0,0,0,0,5.74,0,0,0,2.3,0,0,0.57,0,0.57
 60-70,0,0,0,51.04,0,6.87,12.76,7.85,0.98,2.94,0.98,0,0,0,0,191.4,0.98,0,15.7,8.83,1.96,0,0.98,0,0,8.83,0,0,0,1.96,0,0.98,0.98,0.98,0
 72-82,0,0,0,41.23,0,5.89,8.83,12.76,4.91,0.98,2.94,0.98,0,0,0,245.42,0.98,2.94,28.47,14.72,0,0,0,0,0.98,2.94,0,0,0,1.96,0,1.96,1.96,0.98,0
 84-94,0,0,0,88.15,1.06,16.99,22.3,8.5,1.06,5.31,2.12,1.06,0,0,1.06,158.24,1.06,0,14.87,6.37,0,0,0,0,1.06,9.56,0,0,0,2.12,0,4.25,2.12,0,0
 96-106,0,0,0,69.94,1.09,10.93,9.84,5.46,2.19,5.46,4.37,1.09,0,0,0,125.68,3.28,1.09,5.46,7.65,0,1.09,2.19,0,1.09,15.3,0,0,0,1.09,1.09,1.09,2.19,4.37,0
108-118,0,0,0,56.68,0,8.43,12.26,3.06,0,4.6,1.53,0.77,0.77,0,2.3,94.21,0.77,1.53,6.89,6.13,0.77,0,0.77,0,0.77,0.77,0,0,0,0,0,2.3,0.77,0,0
120,0,0,0,70.55,0,7.84,3.92,0,0,5.88,3.92,0,0,1.96,0,72.51,1.96,3.92,5.88,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
