stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,89.38,28.92,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,91.26,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,1,0,12,0,0,0,0,0,0,0,4,0,12,0,0,4,0,1,1,21,19,7,26,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,8.21,0,0,0,0,0,0,0,0.82,0,22.98,0.82,8.21,2.46,0,0.82,0,6.57,0,0,36.12,0,0,0
 36-46,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,73.32,0,8.86,2.42,0,0,0,3.22,0,0,24.98,0,0,0
 48-58,0,0,0.57,0,0,0,2.3,0,5.74,0,0,0,0,0,1.15,0,2.3,0,93.53,0,7.46,0.57,0,0,0,1.15,0,0,12.62,0,0,0
 60-70,0,0,0,0,0,0,4.91,0,9.82,0,0,0,0,0,2.94,0,1.96,0,125.63,0,9.82,3.93,0,0,0,0,0.98,0,15.7,0,0,0
 72-82,0,0,1.96,0,0.98,0,23.56,0,12.76,0,0,0,0,0.98,0.98,0,5.89,0,137.43,0,15.71,1.96,0,0.98,0,0.98,0,0,9.82,0.98,0,0
 84-94,0,0,1.06,0,0,0,8.5,0,1.06,0,0,0,1.06,0,2.12,0,4.25,0,61.6,0,8.5,11.68,0,0,0,2.12,0,0,9.56,0,1.06,1.06
 96-106,0,0,1.09,0,1.09,2.19,12.02,1.09,3.28,1.09,0,0,0,0,4.37,2.19,0,1.09,45.9,0,13.11,13.11,0,0,0,1.09,0,0,3.28,0,0,0
108-118,0,0,0,0,0.77,0,4.6,0,2.3,0,0,0,0,0,3.06,0.77,5.36,0,63.57,0,5.36,5.36,0,0,0,0.77,0,0,2.3,0,0,0
120,0,0,0,0,5.88,0,7.84,0,7.84,0,0,1.96,1.96,0,1.96,0,0,0,58.79,0,3.92,5.88,0,0,0,1.96,0,0,0,1.96,0,0
