stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,5.26,0,0,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,91.26,0,0,0,53.5,0,3.15,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,1,2,1,8,0,4,1,0,0,0,0,0,0,5,0,8,136,1,0,0,4,1,0,15,0,5,36,0,2,0,0
 24-34,0,0,0,0,1.64,0.82,22.98,0,0.82,0,0,0.82,0,0.82,0,0,26.27,0,5.75,166.63,1.64,0,0.82,0,1.64,0,0,0,0.82,32.83,0,1.64,0,0.82
 36-46,0,0,0,0,1.61,0,9.67,0,2.42,0,0,0,0,0,0,0.81,16.92,0,3.22,72.51,0,0,0,0,1.61,0,0,0,0,12.89,0,0,0,0
 48-58,0,0,0,0,1.72,0,30.99,0,4.02,1.15,0,0,0,0,0,0.57,29.84,1.15,3.44,70,0.57,0.57,0,0,1.15,0.57,0,0.57,0,10.33,0,3.44,0,0
 60-70,0,0,0,0,2.94,0.98,26.5,0,4.91,0,0,0,0,0.98,0,0,14.72,0,4.91,74.6,0,0,0,0,0,0,0,0,0,7.85,0,0.98,0,0.98
 72-82,0,0,0.98,0,7.85,0,4.91,0,8.83,0,0,2.94,0.98,0,0,0.98,15.71,0,3.93,46.14,0,0.98,0.98,0,2.94,0,0,0,0,6.87,0,0.98,0,0.98
 84-94,0,0,0,0,2.12,0,6.37,1.06,2.12,2.12,0,3.19,0,0,1.06,0,13.81,0,1.06,31.86,0,2.12,0,0,3.19,0,0,0,0,4.25,0,1.06,1.06,0
 96-106,0,0,0,0,5.46,1.09,6.56,1.09,1.09,2.19,1.09,4.37,0,0,0,0,8.74,1.09,0,17.49,1.09,1.09,1.09,0,2.19,0,0,0,0,2.19,0,3.28,1.09,1.09
108-118,0,0,0,0,4.6,0,5.36,0.77,3.83,0,0,3.06,0.77,0.77,0,0,8.43,0.77,0.77,25.28,0,0,0,0,3.83,0,0,0,0,0.77,0.77,3.83,0,0.77
120,0,0,0,0,7.84,1.96,1.96,0,0,1.96,0,11.76,0,0,1.96,0,7.84,0,1.96,27.44,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0
