stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,16,1,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,1.64,26.27,0,0.82,0,0,0,0,0,0,0.82,0,2.46,0.82,0,0,3.28,18.06,2.46,0.82,0.82,0,0,2.46,0,0,0,88.65,0.82,6.57,0,0,0.82,0,5.75
 36-46,0,0,0,0,0,0,7.25,125.68,0,0,2.42,0,0,0,0,0.81,0,0,10.47,3.22,0,0,4.03,31.42,1.61,0.81,0,0,0,2.42,0,0,0.81,127.3,0,12.89,0,0,0.81,0,16.92
 48-58,0,0,0,1.15,0,0,32.71,276,0,2.87,6.89,0,0,0,0,0.57,0,0,12.62,17.21,0,0.57,16.07,93.53,1.15,0.57,0.57,0,0,1.72,0,0,0,142.3,0,16.64,0,0,0.57,0,13.77
 60-70,0,0,0,3.93,0.98,0,58.89,243.42,2.94,0,4.91,0,0.98,0,0,0.98,0.98,0,6.87,16.69,0.98,0,12.76,64.78,1.96,0,0,1.96,0.98,4.91,0,0,0,101.1,0,9.82,0,0,0,0,14.72
 72-82,0,0,0,6.87,11.78,0,241.49,194.37,1.96,0.98,14.72,0,1.96,1.96,0,1.96,0,0.98,6.87,32.39,0.98,1.96,15.71,109.95,1.96,1.96,1.96,0.98,0,4.91,0,0,0,63.81,0,7.85,1.96,0,4.91,3.93,4.91
 84-94,0,2.12,1.06,10.62,11.68,0,271.88,339.85,3.19,2.12,15.93,1.06,3.19,2.12,1.06,3.19,0,2.12,4.25,35.05,0,1.06,16.99,94.52,0,3.19,4.25,0,0,33.99,0,0,1.06,120.01,0,4.25,1.06,1.06,3.19,2.12,3.19
 96-106,0,1.09,0,19.67,33.88,2.19,443.7,609.81,4.37,6.56,37.16,5.46,13.11,12.02,5.46,6.56,4.37,6.56,5.46,99.45,4.37,3.28,36.06,158.46,3.28,6.56,4.37,0,2.19,37.16,1.09,0,1.09,127.86,0,10.93,8.74,3.28,18.58,6.56,6.56
108-118,0,3.06,0,19.15,11.49,1.53,327.07,486.39,4.6,4.6,23.74,3.83,4.6,5.36,1.53,4.6,1.53,7.66,3.06,53.62,0,3.06,42.89,153.19,0.77,0.77,3.06,0,0,19.92,0,0,0,109.53,0,3.83,0,1.53,3.83,0.77,4.6
120,0,0,0,15.68,11.76,0,364.52,301.81,0,0,15.68,1.96,5.88,7.84,1.96,0,0,0,0,39.2,0,0,29.4,74.47,0,0,1.96,0,3.92,17.64,0,1.96,1.96,47.03,0,3.92,0,0,0,0,1.96
