stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,0,3,0,0,2,1,0,0,0,0,0,8,0,2,21,0,0,0,1,0,3,0,4,14,0,0,0
 24-34,0,0,0.82,0,0,2.46,0,0,0.82,0,0,0,0,0,0.82,4.1,0,1.64,34.48,0,0.82,2.46,0,0,0,0,0,8.21,0,1.64,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0,0,33.03,0,1.61,0,0,0,0,0,0,10.47,0,0.81,0
 48-58,0,0,0.57,0,0,4.59,0,1.15,0.57,0,0,0.57,0,0,0,2.3,0,0.57,25.25,0.57,0.57,0,0,1.15,0,0,0,7.46,0,0,0
 60-70,0,0,0.98,0,0,4.91,0,0,1.96,0,0.98,0,0.98,0,0,2.94,0.98,0,13.74,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,4.91,0,0,2.94,2.94,0,0,0,0,0,3.93,0,0,33.38,0,1.96,0,0,1.96,0,0.98,0,0.98,0.98,0,0
 84-94,0,1.06,0,2.12,0,10.62,1.06,0,2.12,1.06,0,0,0,0,0,4.25,0,1.06,25.49,1.06,4.25,2.12,0,4.25,0,0,0,4.25,0,0,0
 96-106,0,0,1.09,1.09,0,3.28,0,1.09,1.09,1.09,0,0,0,2.19,1.09,3.28,1.09,0,16.39,0,4.37,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,4.6,1.53,0.77,6.13,0,0,1.53,1.53,0,0,1.53,0,1.53,0.77,0.77,0.77,29.87,0,1.53,0.77,0,2.3,0,0,0,2.3,0,0.77,0
120,0,0,3.92,0,0,1.96,0,0,1.96,3.92,0,0,1.96,0,0,5.88,0,0,33.32,0,0,1.96,0,5.88,0,0,0,0,0,0,1.96
