stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,2.42,0,0,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0.57,0,0,0,0,0,4.02,0,0,1.15,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,14.72,0,0,0.98,0,0,6.87,0,0.98,2.94,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,7.85,0,0,0.98,1.96,0,0,0,0,31.41,0,0,9.82,0,0.98,28.47,0.98,0,1.96,0,0,1.96,1.96,0,2.94,0,0,3.93,0.98
 84-94,0,0,1.06,0,0,8.5,0,0,1.06,0,0,0,1.06,0,70.09,2.12,2.12,7.43,0,1.06,5.31,0,0,2.12,0,0,3.19,2.12,0,1.06,0,0,0,1.06
 96-106,0,0,3.28,1.09,1.09,10.93,1.09,0,3.28,2.19,0,1.09,0,0,96.17,0,0,3.28,1.09,1.09,30.6,1.09,1.09,4.37,0,0,12.02,2.19,1.09,1.09,1.09,1.09,3.28,1.09
108-118,0,0.77,0.77,3.06,0.77,6.89,1.53,0.77,4.6,0,0.77,0.77,0,0.77,85.79,0,0,8.43,0,0,36.77,0,0,6.13,0,0.77,5.36,1.53,0.77,0.77,0,0.77,0,1.53
120,0,0,3.92,0,0,5.88,0,1.96,0,0,0,1.96,0,0,52.91,0,0,3.92,0,0,17.64,0,0,3.92,0,0,0,3.92,0,0,0,0,0,0
