stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0.82,0,0,32.83,0,0,0,0,0,0,21.34,0,0
 36-46,0,0,0,0,0,4.03,0.81,0,0,0,0,0,0,1.61,0,85.4,0.81,0,0,1.61,0,0,44.31,0,0
 48-58,0,0,0,0,0,4.02,2.3,0,0,0,0,0.57,0,1.72,0,112.47,1.15,0,0.57,0,0,0,25.82,0,0
 60-70,0,0,0,0,0,10.8,0,0,0.98,0,0.98,0,0,2.94,0,211.03,0.98,0,0,0,0,0,59.87,0,0.98
 72-82,0,0,0,1.96,0,19.63,5.89,0,0,0,0,0,0,0.98,2.94,250.32,0.98,0,0,0,0.98,0,43.19,0,0.98
 84-94,0,0,0,1.06,0,24.43,4.25,0,0,1.06,0,0,0,0,0,162.49,3.19,0,0,0,0,0,31.86,0,0
 96-106,0,0,0,6.56,1.09,22.95,10.93,1.09,0,0,0,0,0,3.28,0,110.38,0,0,0,0,0,0,16.39,0,0
108-118,0,0,0.77,0.77,0,6.13,15.32,0,0,0,0,0,0,0,0,134.04,0,0,0,0,0,0,10.72,0.77,0
120,0,0,0,0,0,15.68,29.4,0,0,0,0,0,0,1.96,0,154.82,0,0,0,0,0,0,23.52,0,0
