stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,2754.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,183.89,2310.87,0,12.26,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,73.56,6.13,0,0,30.65,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,44.69,28.92,0,63.09,0,0,89.38,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,856.96,47.32,0,0,370.65,0,2.63,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,53.5,0,6.29,122.73,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,704.92,44.06,0,0,330.43,0,0,3.15,0,40.91,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,3,24,5,10,0,0,8,2,0,1,0,0,0,0,0,0,16,0,0,13,145,3,1,1,2,0,0,0,22,1,2,26,67,0,0,2,0,0
 24-34,0,0,0.82,2.46,13.13,1.64,27.91,0.82,0.82,11.49,0.82,0,0,0,1.64,0,0.82,0,0,22.16,0,0,22.98,451.47,2.46,6.57,4.93,0,0,1.64,0,0,0,0,6.57,138.72,0,0,9.85,0,0.82
 36-46,0,0,0.81,0,1.61,1.61,92.65,2.42,1.61,16.92,0,0,0.81,0.81,0.81,0.81,0.81,0,0.81,40.28,0,0,12.09,796,0.81,4.83,2.42,0,0,2.42,0,0,1.61,0,0,170,0,0,9.67,0,3.22
 48-58,0,0,0.57,0,2.87,0.57,134.27,2.3,2.3,35.58,0,0.57,1.72,0,0.57,0,0,0.57,0.57,57.38,0.57,2.87,12.05,717.26,1.15,3.44,1.15,0,0.57,2.87,0,0,1.15,0,0,167.55,0,0.57,6.89,0,4.59
 60-70,0.98,0,0,0,5.89,2.94,322.92,0.98,0.98,54.97,0.98,0,0,1.96,0,0,0.98,0,0,91.28,1.96,2.94,4.91,954.04,0.98,9.82,3.93,0,1.96,3.93,0,0,0,0,0,137.41,0,0,5.89,0.98,2.94
 72-82,0,0,1.96,0,13.74,0.98,343.58,0,5.89,68.72,3.93,0.98,0.98,1.96,0,0.98,3.93,0.98,0.98,109.95,0,2.94,10.8,715.63,0,2.94,1.96,0,0,3.93,0,0,0.98,0.98,0,69.7,1.96,0,7.85,2.94,2.94
 84-94,0,0,1.06,0,19.12,3.19,191.17,2.12,1.06,44.61,2.12,1.06,5.31,0,3.19,3.19,1.06,0,1.06,75.4,1.06,5.31,16.99,356.84,1.06,3.19,6.37,0,0,16.99,0,0,1.06,0,0,31.86,0,2.12,12.74,5.31,0
 96-106,0,0,3.28,0,13.11,5.46,154.09,3.28,4.37,36.06,5.46,0,3.28,4.37,1.09,3.28,2.19,0,0,52.46,0,4.37,3.28,275.4,1.09,12.02,6.56,0,1.09,15.3,0,0,0,0,0,19.67,0,0,7.65,6.56,2.19
108-118,0,0,1.53,0,11.49,2.3,100.34,4.6,1.53,33.7,1.53,0,0.77,3.06,1.53,1.53,1.53,0,0,48.26,0.77,2.3,3.06,297.19,1.53,1.53,6.13,0,0.77,6.13,0,0,0,0,0,8.43,2.3,2.3,7.66,3.83,0
120,0,0,0,0,27.44,3.92,70.55,7.84,0,21.56,0,0,1.96,0,1.96,0,1.96,1.96,0,19.6,0,3.92,1.96,323.36,0,7.84,0,0,0,3.92,0,0,0,0,0,11.76,0,1.96,1.96,3.92,0
